date,group,product,sales
2018-01-13,AU,retail,4958
2018-01-13,AU,hobbies,10516
2018-01-13,CA,camping,9670
2018-01-13,CA,hiking,10211
2018-01-13,AU,outdoor,4336
2018-01-14,AU,hobbies,9547
2018-01-14,CA,camping,8710
2018-01-14,CA,hiking,8519
2018-01-14,AU,outdoor,4688
2018-01-14,AU,retail,5667
2018-01-15,AU,hobbies,8855
2018-01-15,CA,camping,9847
2018-01-15,AU,outdoor,3920
2018-01-15,CA,hiking,9269
2018-01-15,AU,retail,6534
2018-01-16,CA,hiking,10038
2018-01-16,CA,camping,8374
2018-01-16,AU,hobbies,8516
2018-01-16,AU,retail,6222
2018-01-16,AU,outdoor,2752
2018-01-17,CA,camping,8226
2018-01-17,CA,hiking,10240
2018-01-17,AU,hobbies,8864
2018-01-17,AU,outdoor,2499
2018-01-17,AU,retail,3973
2018-01-18,CA,hiking,10472
2018-01-18,AU,outdoor,4143
2018-01-18,AU,hobbies,7611
2018-01-18,CA,camping,8001
2018-01-18,AU,retail,3029
2018-01-19,CA,camping,9216
2018-01-19,CA,hiking,10420
2018-01-19,AU,outdoor,2682
2018-01-19,AU,hobbies,8747
2018-01-19,AU,retail,5990
2018-01-20,AU,retail,6770
2018-01-20,CA,hiking,9679
2018-01-20,AU,hobbies,9341
2018-01-20,CA,camping,9381
2018-01-20,AU,outdoor,4897
2018-01-21,AU,retail,5302
2018-01-21,CA,hiking,11778
2018-01-21,AU,hobbies,8102
2018-01-21,AU,outdoor,3669
2018-01-21,CA,camping,8446
2018-01-22,AU,retail,5731
2018-01-22,AU,hobbies,7774
2018-01-22,CA,hiking,11342
2018-01-22,AU,outdoor,4083
2018-01-22,CA,camping,9264
2018-01-23,CA,camping,7777
2018-01-23,AU,hobbies,9558
2018-01-23,AU,outdoor,3155
2018-01-23,AU,retail,5304
2018-01-23,CA,hiking,9240
2018-01-24,CA,hiking,10054
2018-01-24,AU,outdoor,2883
2018-01-24,AU,hobbies,9528
2018-01-24,CA,camping,7551
2018-01-24,AU,retail,4068
2018-01-25,CA,hiking,9998
2018-01-25,AU,outdoor,2643
2018-01-25,CA,camping,7315
2018-01-25,AU,hobbies,8802
2018-01-25,AU,retail,4817
2018-01-26,CA,camping,8304
2018-01-26,AU,retail,5318
2018-01-26,AU,hobbies,8652
2018-01-26,CA,hiking,9998
2018-01-26,AU,outdoor,3965
2018-01-27,AU,retail,6141
2018-01-27,CA,camping,8774
2018-01-27,AU,hobbies,9949
2018-01-27,CA,hiking,11474
2018-01-27,AU,outdoor,4162
2018-01-28,AU,retail,5433
2018-01-28,CA,camping,9796
2018-01-28,AU,hobbies,7604
2018-01-28,CA,hiking,11119
2018-01-28,AU,outdoor,3199
2018-01-29,AU,hobbies,9149
2018-01-29,CA,camping,9055
2018-01-29,AU,retail,5739
2018-01-29,CA,hiking,11880
2018-01-29,AU,outdoor,4126
2018-01-30,AU,outdoor,4562
2018-01-30,AU,hobbies,7462
2018-01-30,AU,retail,8078
2018-01-30,CA,hiking,9936
2018-01-30,CA,camping,7171
2018-01-31,AU,outdoor,4379
2018-01-31,CA,hiking,10881
2018-01-31,AU,hobbies,6478
2018-01-31,AU,retail,4484
2018-01-31,CA,camping,7609
2018-02-01,AU,hobbies,7262
2018-02-01,CA,hiking,11226
2018-02-01,CA,camping,8518
2018-02-01,AU,outdoor,5574
2018-02-01,AU,retail,3733
2018-02-02,AU,retail,6093
2018-02-02,CA,hiking,11018
2018-02-02,CA,camping,8076
2018-02-02,AU,outdoor,4494
2018-02-02,AU,hobbies,8322
2018-02-03,AU,hobbies,9087
2018-02-03,AU,retail,6255
2018-02-03,CA,hiking,9709
2018-02-03,AU,outdoor,3286
2018-02-03,CA,camping,8590
2018-02-04,AU,outdoor,4808
2018-02-04,CA,hiking,10698
2018-02-04,AU,hobbies,8436
2018-02-04,CA,camping,8201
2018-02-04,AU,retail,6202
2018-02-05,CA,camping,7703
2018-02-05,AU,outdoor,5496
2018-02-05,AU,retail,6002
2018-02-05,CA,hiking,10085
2018-02-05,AU,hobbies,8441
2018-02-06,AU,retail,7111
2018-02-06,CA,hiking,11736
2018-02-06,CA,camping,8618
2018-02-06,AU,outdoor,5084
2018-02-06,AU,hobbies,7592
2018-02-07,AU,hobbies,8000
2018-02-07,CA,camping,6937
2018-02-07,CA,hiking,11430
2018-02-07,AU,outdoor,4615
2018-02-07,AU,retail,6035
2018-02-08,CA,camping,6018
2018-02-08,CA,hiking,9281
2018-02-08,AU,hobbies,7832
2018-02-08,AU,outdoor,4610
2018-02-08,AU,retail,4809
2018-02-09,CA,hiking,10794
2018-02-09,CA,camping,7411
2018-02-09,AU,retail,6525
2018-02-09,AU,outdoor,5744
2018-02-09,AU,hobbies,5846
2018-02-10,AU,outdoor,5282
2018-02-10,CA,camping,5706
2018-02-10,CA,hiking,12133
2018-02-10,AU,retail,6400
2018-02-10,AU,hobbies,7257
2018-02-11,CA,camping,7071
2018-02-11,AU,retail,3868
2018-02-11,CA,hiking,11613
2018-02-11,AU,hobbies,8666
2018-02-11,AU,outdoor,5994
2018-02-12,AU,outdoor,6162
2018-02-12,AU,hobbies,7866
2018-02-12,AU,retail,5542
2018-02-12,CA,hiking,10754
2018-02-12,CA,camping,7036
2018-02-13,AU,outdoor,4717
2018-02-13,AU,hobbies,8413
2018-02-13,CA,hiking,11146
2018-02-13,AU,retail,7210
2018-02-13,CA,camping,7557
2018-02-14,AU,outdoor,4879
2018-02-14,AU,retail,5648
2018-02-14,AU,hobbies,8276
2018-02-14,CA,hiking,9918
2018-02-14,CA,camping,8185
2018-02-15,AU,hobbies,8424
2018-02-15,AU,outdoor,4887
2018-02-15,AU,retail,5468
2018-02-15,CA,hiking,10629
2018-02-15,CA,camping,5115
2018-02-16,AU,retail,6951
2018-02-16,CA,camping,6862
2018-02-16,AU,outdoor,6224
2018-02-16,AU,hobbies,6998
2018-02-16,CA,hiking,11957
2018-02-17,CA,hiking,11368
2018-02-17,AU,outdoor,5266
2018-02-17,CA,camping,5948
2018-02-17,AU,hobbies,10387
2018-02-17,AU,retail,6050
2018-02-18,AU,retail,7027
2018-02-18,AU,outdoor,5383
2018-02-18,AU,hobbies,8410
2018-02-18,CA,camping,6113
2018-02-18,CA,hiking,11907
2018-02-19,AU,hobbies,9243
2018-02-19,CA,hiking,11595
2018-02-19,CA,camping,7460
2018-02-19,AU,retail,7106
2018-02-19,AU,outdoor,5463
2018-02-20,AU,hobbies,9784
2018-02-20,AU,retail,6012
2018-02-20,CA,hiking,12225
2018-02-20,AU,outdoor,6814
2018-02-20,CA,camping,7087
2018-02-21,AU,outdoor,5850
2018-02-21,AU,retail,4881
2018-02-21,CA,camping,5752
2018-02-21,CA,hiking,11652
2018-02-21,AU,hobbies,9425
2018-02-22,AU,hobbies,8586
2018-02-22,AU,outdoor,5927
2018-02-22,AU,retail,5454
2018-02-22,CA,camping,6527
2018-02-22,CA,hiking,10088
2018-02-23,AU,outdoor,6620
2018-02-23,CA,camping,5971
2018-02-23,CA,hiking,11919
2018-02-23,AU,retail,7648
2018-02-23,AU,hobbies,8309
2018-02-24,CA,hiking,11765
2018-02-24,AU,outdoor,7468
2018-02-24,AU,hobbies,9081
2018-02-24,AU,retail,7275
2018-02-24,CA,camping,5445
2018-02-25,CA,camping,6427
2018-02-25,CA,hiking,12395
2018-02-25,AU,hobbies,9006
2018-02-25,AU,outdoor,6399
2018-02-25,AU,retail,7019
2018-02-26,CA,hiking,9712
2018-02-26,AU,hobbies,10466
2018-02-26,AU,retail,8508
2018-02-26,AU,outdoor,4656
2018-02-26,CA,camping,6948
2018-02-27,AU,retail,7765
2018-02-27,AU,hobbies,10067
2018-02-27,AU,outdoor,7372
2018-02-27,CA,camping,6372
2018-02-27,CA,hiking,10993
2018-02-28,AU,outdoor,7584
2018-02-28,AU,retail,6206
2018-02-28,AU,hobbies,9789
2018-02-28,CA,camping,4595
2018-02-28,CA,hiking,9555
2018-03-01,AU,retail,5315
2018-03-01,AU,hobbies,11876
2018-03-01,CA,camping,6150
2018-03-01,AU,outdoor,6462
2018-03-01,CA,hiking,11745
2018-03-02,AU,outdoor,7483
2018-03-02,AU,hobbies,9433
2018-03-02,AU,retail,8126
2018-03-02,CA,camping,4549
2018-03-02,CA,hiking,10828
2018-03-03,AU,hobbies,9591
2018-03-03,CA,camping,5941
2018-03-03,CA,hiking,11694
2018-03-03,AU,retail,4618
2018-03-03,AU,outdoor,8038
2018-03-04,AU,outdoor,6861
2018-03-04,CA,camping,6362
2018-03-04,CA,hiking,11550
2018-03-04,AU,retail,6873
2018-03-04,AU,hobbies,9762
2018-03-05,CA,camping,5183
2018-03-05,AU,hobbies,10246
2018-03-05,AU,retail,8087
2018-03-05,AU,outdoor,6828
2018-03-05,CA,hiking,11039
2018-03-06,AU,outdoor,6210
2018-03-06,AU,hobbies,11071
2018-03-06,AU,retail,7498
2018-03-06,CA,hiking,10857
2018-03-06,CA,camping,5498
2018-03-07,CA,camping,4498
2018-03-07,AU,retail,5686
2018-03-07,CA,hiking,10039
2018-03-07,AU,outdoor,5556
2018-03-07,AU,hobbies,10704
2018-03-08,AU,retail,5030
2018-03-08,AU,outdoor,6043
2018-03-08,AU,hobbies,11581
2018-03-08,CA,hiking,12100
2018-03-08,CA,camping,5477
2018-03-09,AU,retail,8359
2018-03-09,AU,hobbies,11466
2018-03-09,CA,camping,4932
2018-03-09,AU,outdoor,7632
2018-03-09,CA,hiking,11793
2018-03-10,AU,outdoor,6399
2018-03-10,CA,camping,4896
2018-03-10,AU,retail,7484
2018-03-10,CA,hiking,12256
2018-03-10,AU,hobbies,11141
2018-03-11,AU,retail,4754
2018-03-11,CA,camping,5414
2018-03-11,CA,hiking,10411
2018-03-11,AU,hobbies,11903
2018-03-11,AU,outdoor,6961
2018-03-12,AU,retail,9265
2018-03-12,CA,hiking,11312
2018-03-12,AU,hobbies,11846
2018-03-12,CA,camping,5660
2018-03-12,AU,outdoor,7567
2018-03-13,CA,camping,2492
2018-03-13,AU,retail,7565
2018-03-13,CA,hiking,11138
2018-03-13,AU,hobbies,11671
2018-03-13,AU,outdoor,5958
2018-03-14,CA,hiking,11221
2018-03-14,AU,outdoor,7054
2018-03-14,AU,retail,6517
2018-03-14,CA,camping,4196
2018-03-14,AU,hobbies,12219
2018-03-15,AU,outdoor,6464
2018-03-15,CA,hiking,11292
2018-03-15,CA,camping,3738
2018-03-15,AU,retail,9352
2018-03-15,AU,hobbies,9853
2018-03-16,AU,outdoor,7477
2018-03-16,AU,hobbies,11403
2018-03-16,AU,retail,10590
2018-03-16,CA,hiking,11601
2018-03-16,CA,camping,6174
2018-03-17,CA,camping,5563
2018-03-17,AU,hobbies,9910
2018-03-17,CA,hiking,10996
2018-03-17,AU,outdoor,6871
2018-03-17,AU,retail,8227
2018-03-18,CA,camping,5787
2018-03-18,AU,hobbies,11966
2018-03-18,CA,hiking,11695
2018-03-18,AU,retail,6976
2018-03-18,AU,outdoor,0
2018-03-19,AU,hobbies,11483
2018-03-19,CA,hiking,10518
2018-03-19,AU,outdoor,5884
2018-03-19,AU,retail,7328
2018-03-19,CA,camping,4452
2018-03-20,CA,hiking,10673
2018-03-20,AU,hobbies,0
2018-03-20,AU,outdoor,8642
2018-03-20,AU,retail,7368
2018-03-20,CA,camping,5493
2018-03-21,AU,hobbies,11182
2018-03-21,AU,outdoor,6672
2018-03-21,CA,camping,4452
2018-03-21,CA,hiking,11436
2018-03-21,AU,retail,7051
2018-03-22,AU,hobbies,11400
2018-03-22,CA,hiking,8830
2018-03-22,AU,retail,6258
2018-03-22,AU,outdoor,4836
2018-03-22,CA,camping,5850
2018-03-23,CA,camping,5848
2018-03-23,CA,hiking,10920
2018-03-23,AU,outdoor,7343
2018-03-23,AU,retail,7557
2018-03-23,AU,hobbies,13152
2018-03-24,CA,hiking,10608
2018-03-24,CA,camping,4909
2018-03-24,AU,outdoor,7214
2018-03-24,AU,retail,8836
2018-03-24,AU,hobbies,10996
2018-03-25,CA,hiking,10988
2018-03-25,AU,outdoor,6071
2018-03-25,CA,camping,4945
2018-03-25,AU,retail,7397
2018-03-25,AU,hobbies,10623
2018-03-26,CA,hiking,9362
2018-03-26,AU,retail,8070
2018-03-26,CA,camping,5330
2018-03-26,AU,hobbies,11977
2018-03-26,AU,outdoor,6675
2018-03-27,CA,camping,5534
2018-03-27,AU,retail,8429
2018-03-27,AU,outdoor,7915
2018-03-27,CA,hiking,10584
2018-03-27,AU,hobbies,10830
2018-03-28,AU,hobbies,10590
2018-03-28,CA,hiking,10156
2018-03-28,AU,outdoor,5810
2018-03-28,CA,camping,3508
2018-03-28,AU,retail,7388
2018-03-29,CA,hiking,9514
2018-03-29,AU,hobbies,11103
2018-03-29,AU,outdoor,7110
2018-03-29,CA,camping,5074
2018-03-29,AU,retail,8556
2018-03-30,AU,outdoor,7985
2018-03-30,CA,hiking,10225
2018-03-30,AU,hobbies,11848
2018-03-30,CA,camping,5240
2018-03-30,AU,retail,9444
2018-03-31,AU,retail,8969
2018-03-31,AU,hobbies,10894
2018-03-31,AU,outdoor,0
2018-03-31,CA,camping,4007
2018-03-31,CA,hiking,9782
2018-04-01,CA,camping,3637
2018-04-01,AU,outdoor,6521
2018-04-01,AU,hobbies,10317
2018-04-01,AU,retail,9418
2018-04-01,CA,hiking,8531
2018-04-02,CA,camping,4473
2018-04-02,AU,retail,8255
2018-04-02,AU,outdoor,7718
2018-04-02,AU,hobbies,11758
2018-04-02,CA,hiking,8692
2018-04-03,AU,hobbies,11000
2018-04-03,AU,retail,8661
2018-04-03,CA,camping,5106
2018-04-03,AU,outdoor,5690
2018-04-03,CA,hiking,10308
2018-04-04,AU,outdoor,6261
2018-04-04,CA,hiking,10475
2018-04-04,AU,hobbies,10971
2018-04-04,AU,retail,7515
2018-04-04,CA,camping,4384
2018-04-05,CA,camping,5806
2018-04-05,AU,outdoor,6787
2018-04-05,AU,hobbies,10809
2018-04-05,AU,retail,9597
2018-04-05,CA,hiking,8561
2018-04-06,AU,hobbies,11193
2018-04-06,CA,hiking,9830
2018-04-06,AU,retail,8271
2018-04-06,AU,outdoor,5938
2018-04-06,CA,camping,6152
2018-04-07,CA,camping,6498
2018-04-07,AU,retail,7628
2018-04-07,AU,outdoor,7677
2018-04-07,AU,hobbies,11227
2018-04-07,CA,hiking,7263
2018-04-08,AU,retail,8417
2018-04-08,CA,hiking,7113
2018-04-08,CA,camping,4254
2018-04-08,AU,hobbies,11460
2018-04-08,AU,outdoor,6571
2018-04-09,CA,camping,6068
2018-04-09,AU,retail,8041
2018-04-09,AU,outdoor,7965
2018-04-09,CA,hiking,8826
2018-04-09,AU,hobbies,10506
2018-04-10,AU,hobbies,11624
2018-04-10,CA,camping,6725
2018-04-10,AU,outdoor,6618
2018-04-10,AU,retail,7749
2018-04-10,CA,hiking,8219
2018-04-11,AU,outdoor,5152
2018-04-11,AU,retail,7539
2018-04-11,AU,hobbies,9970
2018-04-11,CA,hiking,8865
2018-04-11,CA,camping,4427
2018-04-12,CA,hiking,8889
2018-04-12,AU,outdoor,6545
2018-04-12,AU,hobbies,11043
2018-04-12,CA,camping,4089
2018-04-12,AU,retail,7746
2018-04-13,CA,hiking,7802
2018-04-13,AU,hobbies,12125
2018-04-13,CA,camping,5285
2018-04-13,AU,outdoor,8190
2018-04-13,AU,retail,8341
2018-04-14,AU,hobbies,10555
2018-04-14,CA,hiking,8360
2018-04-14,CA,camping,6986
2018-04-14,AU,outdoor,7964
2018-04-14,AU,retail,7523
2018-04-15,CA,camping,5068
2018-04-15,AU,retail,7190
2018-04-15,AU,outdoor,6493
2018-04-15,CA,hiking,8187
2018-04-15,AU,hobbies,10980
2018-04-16,CA,camping,4471
2018-04-16,AU,retail,7878
2018-04-16,AU,hobbies,11486
2018-04-16,CA,hiking,7775
2018-04-16,AU,outdoor,7524
2018-04-17,AU,hobbies,10766
2018-04-17,AU,retail,8806
2018-04-17,CA,hiking,7509
2018-04-17,AU,outdoor,8007
2018-04-17,CA,camping,5087
2018-04-18,AU,outdoor,5429
2018-04-18,CA,hiking,7665
2018-04-18,CA,camping,5273
2018-04-18,AU,hobbies,10579
2018-04-18,AU,retail,7020
2018-04-19,CA,camping,5279
2018-04-19,CA,hiking,8945
2018-04-19,AU,hobbies,12176
2018-04-19,AU,retail,7474
2018-04-19,AU,outdoor,8017
2018-04-20,CA,hiking,8107
2018-04-20,AU,retail,7094
2018-04-20,AU,hobbies,12261
2018-04-20,CA,camping,6418
2018-04-20,AU,outdoor,6465
2018-04-21,AU,hobbies,10758
2018-04-21,CA,hiking,9090
2018-04-21,AU,retail,8086
2018-04-21,AU,outdoor,6921
2018-04-21,CA,camping,6220
2018-04-22,CA,hiking,7856
2018-04-22,AU,hobbies,12297
2018-04-22,AU,outdoor,7665
2018-04-22,CA,camping,3310
2018-04-22,AU,retail,9156
2018-04-23,CA,camping,4451
2018-04-23,AU,retail,7827
2018-04-23,CA,hiking,8854
2018-04-23,AU,hobbies,13187
2018-04-23,AU,outdoor,8095
2018-04-24,CA,hiking,8135
2018-04-24,AU,outdoor,7109
2018-04-24,AU,retail,7984
2018-04-24,AU,hobbies,12455
2018-04-24,CA,camping,5658
2018-04-25,CA,camping,6089
2018-04-25,AU,retail,6022
2018-04-25,AU,outdoor,6565
2018-04-25,AU,hobbies,10330
2018-04-25,CA,hiking,7120
2018-04-26,AU,outdoor,8638
2018-04-26,CA,camping,4670
2018-04-26,AU,hobbies,10304
2018-04-26,CA,hiking,8203
2018-04-26,AU,retail,6565
2018-04-27,AU,outdoor,7412
2018-04-27,CA,camping,6024
2018-04-27,AU,retail,9260
2018-04-27,CA,hiking,8845
2018-04-27,AU,hobbies,10798
2018-04-28,AU,retail,7430
2018-04-28,CA,hiking,8283
2018-04-28,AU,outdoor,9017
2018-04-28,CA,camping,4945
2018-04-28,AU,hobbies,12433
2018-04-29,AU,outdoor,6434
2018-04-29,CA,hiking,7574
2018-04-29,AU,hobbies,12992
2018-04-29,AU,retail,7365
2018-04-29,CA,camping,4650
2018-04-30,AU,hobbies,11964
2018-04-30,CA,camping,4467
2018-04-30,AU,outdoor,6477
2018-04-30,AU,retail,10648
2018-04-30,CA,hiking,7611
2018-05-01,AU,hobbies,12203
2018-05-01,CA,camping,5296
2018-05-01,CA,hiking,8554
2018-05-01,AU,retail,7451
2018-05-01,AU,outdoor,6352
2018-05-02,CA,hiking,7694
2018-05-02,AU,retail,7027
2018-05-02,CA,camping,82
2018-05-02,AU,outdoor,9152
2018-05-02,AU,hobbies,11094
2018-05-03,AU,retail,7363
2018-05-03,AU,outdoor,7357
2018-05-03,CA,hiking,7782
2018-05-03,AU,hobbies,12967
2018-05-03,CA,camping,4136
2018-05-04,AU,hobbies,11850
2018-05-04,AU,outdoor,9321
2018-05-04,CA,camping,6696
2018-05-04,AU,retail,8843
2018-05-04,CA,hiking,9217
2018-05-05,AU,outdoor,7305
2018-05-05,CA,hiking,9150
2018-05-05,CA,camping,4712
2018-05-05,AU,hobbies,378
2018-05-05,AU,retail,7584
2018-05-06,CA,hiking,8284
2018-05-06,AU,retail,6255
2018-05-06,AU,hobbies,11780
2018-05-06,CA,camping,4958
2018-05-06,AU,outdoor,6507
2018-05-07,AU,retail,7493
2018-05-07,CA,camping,4629
2018-05-07,AU,hobbies,12030
2018-05-07,AU,outdoor,7923
2018-05-07,CA,hiking,9585
2018-05-08,CA,camping,5158
2018-05-08,CA,hiking,9908
2018-05-08,AU,outdoor,7847
2018-05-08,AU,hobbies,11796
2018-05-08,AU,retail,8668
2018-05-09,AU,outdoor,7014
2018-05-09,CA,hiking,8915
2018-05-09,AU,hobbies,12261
2018-05-09,AU,retail,6399
2018-05-09,CA,camping,4574
2018-05-10,AU,outdoor,7950
2018-05-10,CA,hiking,10415
2018-05-10,CA,camping,4551
2018-05-10,AU,hobbies,12211
2018-05-10,AU,retail,6891
2018-05-11,CA,hiking,9272
2018-05-11,AU,outdoor,8498
2018-05-11,AU,retail,7616
2018-05-11,CA,camping,5678
2018-05-11,AU,hobbies,12857
2018-05-12,AU,retail,7548
2018-05-12,AU,outdoor,7649
2018-05-12,CA,camping,4777
2018-05-12,AU,hobbies,11278
2018-05-12,CA,hiking,9108
2018-05-13,AU,retail,6382
2018-05-13,AU,outdoor,7336
2018-05-13,CA,camping,3807
2018-05-13,AU,hobbies,10768
2018-05-13,CA,hiking,9752
2018-05-14,CA,hiking,9968
2018-05-14,CA,camping,5113
2018-05-14,AU,hobbies,11997
2018-05-14,AU,retail,9106
2018-05-14,AU,outdoor,8606
2018-05-15,CA,hiking,12073
2018-05-15,CA,camping,3522
2018-05-15,AU,hobbies,12328
2018-05-15,AU,retail,6509
2018-05-15,AU,outdoor,9006
2018-05-16,AU,outdoor,7826
2018-05-16,CA,hiking,10073
2018-05-16,AU,hobbies,12065
2018-05-16,CA,camping,3510
2018-05-16,AU,retail,6512
2018-05-17,AU,outdoor,7800
2018-05-17,AU,hobbies,9808
2018-05-17,AU,retail,7124
2018-05-17,CA,camping,3891
2018-05-17,CA,hiking,9993
2018-05-18,CA,camping,3911
2018-05-18,AU,retail,8035
2018-05-18,AU,hobbies,12799
2018-05-18,CA,hiking,12551
2018-05-18,AU,outdoor,8879
2018-05-19,AU,hobbies,12598
2018-05-19,CA,hiking,10193
2018-05-19,AU,outdoor,7296
2018-05-19,AU,retail,7551
2018-05-19,CA,camping,4404
2018-05-20,CA,hiking,10361
2018-05-20,AU,outdoor,8506
2018-05-20,AU,retail,6615
2018-05-20,AU,hobbies,10947
2018-05-20,CA,camping,4889
2018-05-21,AU,retail,8122
2018-05-21,AU,outdoor,7636
2018-05-21,AU,hobbies,10311
2018-05-21,CA,camping,4963
2018-05-21,CA,hiking,12997
2018-05-22,AU,retail,8170
2018-05-22,AU,outdoor,7278
2018-05-22,CA,camping,4244
2018-05-22,CA,hiking,11610
2018-05-22,AU,hobbies,12368
2018-05-23,AU,hobbies,10616
2018-05-23,CA,camping,3057
2018-05-23,CA,hiking,10652
2018-05-23,AU,retail,6797
2018-05-23,AU,outdoor,7168
2018-05-24,CA,hiking,12199
2018-05-24,AU,hobbies,11785
2018-05-24,AU,outdoor,7994
2018-05-24,AU,retail,6576
2018-05-24,CA,camping,2314
2018-05-25,AU,outdoor,8576
2018-05-25,CA,hiking,11736
2018-05-25,AU,hobbies,11749
2018-05-25,AU,retail,8352
2018-05-25,CA,camping,4278
2018-05-26,AU,hobbies,9683
2018-05-26,AU,retail,0
2018-05-26,CA,hiking,11234
2018-05-26,CA,camping,3638
2018-05-26,AU,outdoor,7155
2018-05-27,AU,hobbies,11490
2018-05-27,CA,camping,1543
2018-05-27,AU,retail,7463
2018-05-27,CA,hiking,12177
2018-05-27,AU,outdoor,6751
2018-05-28,AU,hobbies,12599
2018-05-28,AU,outdoor,7887
2018-05-28,CA,camping,4108
2018-05-28,AU,retail,6240
2018-05-28,CA,hiking,12429
2018-05-29,CA,hiking,12309
2018-05-29,AU,hobbies,11664
2018-05-29,CA,camping,3060
2018-05-29,AU,outdoor,8208
2018-05-29,AU,retail,7273
2018-05-30,CA,camping,2735
2018-05-30,AU,hobbies,12689
2018-05-30,CA,hiking,12808
2018-05-30,AU,outdoor,7314
2018-05-30,AU,retail,6836
2018-05-31,CA,camping,5000
2018-05-31,CA,hiking,11427
2018-05-31,AU,hobbies,13271
2018-05-31,AU,outdoor,7062
2018-05-31,AU,retail,7350
2018-06-01,CA,camping,4658
2018-06-01,AU,hobbies,10604
2018-06-01,AU,outdoor,7384
2018-06-01,CA,hiking,13045
2018-06-01,AU,retail,6968
2018-06-02,CA,hiking,12825
2018-06-02,AU,retail,7359
2018-06-02,AU,outdoor,6089
2018-06-02,CA,camping,4163
2018-06-02,AU,hobbies,11280
2018-06-03,CA,hiking,10903
2018-06-03,CA,camping,4208
2018-06-03,AU,outdoor,5912
2018-06-03,AU,retail,7587
2018-06-03,AU,hobbies,10426
2018-06-04,AU,hobbies,11327
2018-06-04,CA,camping,4425
2018-06-04,AU,outdoor,8716
2018-06-04,CA,hiking,10867
2018-06-04,AU,retail,7080
2018-06-05,AU,retail,7623
2018-06-05,CA,hiking,11742
2018-06-05,CA,camping,4400
2018-06-05,AU,hobbies,10880
2018-06-05,AU,outdoor,7670
2018-06-06,CA,hiking,10026
2018-06-06,CA,camping,5101
2018-06-06,AU,hobbies,10805
2018-06-06,AU,outdoor,8971
2018-06-06,AU,retail,6021
2018-06-07,CA,hiking,12280
2018-06-07,CA,camping,3615
2018-06-07,AU,hobbies,11057
2018-06-07,AU,outdoor,6194
2018-06-07,AU,retail,6088
2018-06-08,CA,camping,4047
2018-06-08,AU,retail,7594
2018-06-08,CA,hiking,12909
2018-06-08,AU,hobbies,11283
2018-06-08,AU,outdoor,9789
2018-06-09,AU,hobbies,11798
2018-06-09,AU,retail,6207
2018-06-09,CA,hiking,13614
2018-06-09,AU,outdoor,7892
2018-06-09,CA,camping,3401
2018-06-10,CA,camping,4451
2018-06-10,AU,outdoor,7644
2018-06-10,AU,retail,7199
2018-06-10,AU,hobbies,11607
2018-06-10,CA,hiking,12174
2018-06-11,CA,hiking,11006
2018-06-11,CA,camping,5426
2018-06-11,AU,hobbies,11465
2018-06-11,AU,outdoor,7285
2018-06-11,AU,retail,8081
2018-06-12,AU,hobbies,11526
2018-06-12,CA,camping,5857
2018-06-12,AU,retail,7446
2018-06-12,AU,outdoor,7190
2018-06-12,CA,hiking,11413
2018-06-13,CA,hiking,11727
2018-06-13,AU,outdoor,6944
2018-06-13,AU,retail,5886
2018-06-13,CA,camping,4564
2018-06-13,AU,hobbies,11860
2018-06-14,AU,retail,6893
2018-06-14,AU,outdoor,7353
