HolidayId,holidayname,HolidayDate
7,Valentines Day,2022-02-14
8,Lunar New Year,2000-02-05
8,Lunar New Year,2001-01-24
8,Lunar New Year,2002-02-12
8,Lunar New Year,2003-02-01
8,Lunar New Year,2004-01-22
8,Lunar New Year,2005-02-09
8,Lunar New Year,2006-01-29
8,Lunar New Year,2007-02-18
8,Lunar New Year,2008-02-07
8,Lunar New Year,2009-01-26
8,Lunar New Year,2010-02-14
8,Lunar New Year,2011-02-03
8,Lunar New Year,2012-01-23
8,Lunar New Year,2013-02-10
8,Lunar New Year,2014-01-31
8,Lunar New Year,2015-02-19
8,Lunar New Year,2016-02-08
8,Lunar New Year,2017-01-28
8,Lunar New Year,2018-02-16
8,Lunar New Year,2019-02-05
8,Lunar New Year,2020-01-25
8,Lunar New Year,2021-02-12
8,Lunar New Year,2022-02-01
9,Guy Fawkes,2000-11-05
9,Guy Fawkes,2001-11-05
9,Guy Fawkes,2002-11-05
9,Guy Fawkes,2003-11-05
9,Guy Fawkes,2004-11-05
9,Guy Fawkes,2005-11-05
9,Guy Fawkes,2006-11-05
9,Guy Fawkes,2007-11-05
9,Guy Fawkes,2008-11-05
9,Guy Fawkes,2009-11-05
9,Guy Fawkes,2010-11-05
9,Guy Fawkes,2011-11-05
9,Guy Fawkes,2012-11-05
9,Guy Fawkes,2013-11-05
9,Guy Fawkes,2014-11-05
9,Guy Fawkes,2015-11-05
9,Guy Fawkes,2016-11-05
9,Guy Fawkes,2017-11-05
9,Guy Fawkes,2018-11-05
9,Guy Fawkes,2019-11-05
9,Guy Fawkes,2020-11-05
9,Guy Fawkes,2021-11-05
9,Guy Fawkes,2022-11-05
