date,location,product,sales,promo_multiplier,days_in_promo
2018-01-24,AU,outdoor,3319,1,0
2018-01-24,AU,hobbies,8979,1,0
2018-01-24,CA,camping,9125,1,0
2018-01-24,AU,retail,5667,1,0
2018-01-25,CA,hiking,10015,1,0
2018-01-25,AU,outdoor,2288,1,0
2018-01-25,CA,camping,8309,1,0
2018-01-25,AU,hobbies,8541,1,0
2018-01-25,AU,retail,5164,1,0
2018-01-26,CA,camping,9432,1,0
2018-01-26,AU,retail,4313,1,0
2018-01-26,AU,hobbies,8192,1,0
2018-01-26,CA,hiking,9824,1,0
2018-01-26,AU,outdoor,4839,1,0
2018-01-27,AU,retail,5650,1,0
2018-01-27,CA,camping,8089,1,0
2018-01-27,AU,hobbies,9200,1,0
2018-01-27,CA,hiking,10137,1,0
2018-01-27,AU,outdoor,3723,1,0
2018-01-28,AU,retail,6770,1,0
2018-01-28,CA,camping,9749,1,0
2018-01-28,AU,hobbies,8211,1,0
2018-01-28,CA,hiking,10332,1,0
2018-01-28,AU,outdoor,3077,1,0
2018-01-29,AU,hobbies,7347,1,0
2018-01-29,CA,camping,9365,1,0
2018-01-29,AU,retail,8001,1,0
2018-01-29,CA,hiking,10471,1,0
2018-01-29,AU,outdoor,3338,1,0
2018-01-30,AU,outdoor,3952,1,0
2018-01-30,AU,hobbies,8818,1,0
2018-01-30,AU,retail,5251,1,0
2018-01-30,CA,hiking,10484,1,0
2018-01-30,CA,camping,9133,1,0
2018-01-31,AU,outdoor,3760,1,0
2018-01-31,CA,hiking,11663,1,0
2018-01-31,AU,hobbies,8444,1,0
2018-01-31,AU,retail,4174,1,0
2018-01-31,CA,camping,7239,1,0
2018-02-01,AU,hobbies,7812,1,0
2018-02-01,CA,hiking,10046,1,0
2018-02-01,CA,camping,6820,1,0
2018-02-01,AU,outdoor,2985,1,0
2018-02-01,AU,retail,5321,1,0
2018-02-02,AU,retail,5767,1,0
2018-02-02,CA,hiking,12084,1,0
2018-02-02,CA,camping,7352,1,0
2018-02-02,AU,outdoor,2451,1,0
2018-02-02,AU,hobbies,7778,1,0
2018-02-03,AU,hobbies,9429,1,0
2018-02-03,AU,retail,5968,1,0
2018-02-03,CA,hiking,9954,1,0
2018-02-03,AU,outdoor,3251,1,0
2018-02-03,CA,camping,8922,1,0
2018-02-04,AU,outdoor,3676,1,0
2018-02-04,CA,hiking,12305,1,0
2018-02-04,AU,hobbies,8705,1,0
2018-02-04,CA,camping,6872,1,0
2018-02-04,AU,retail,6445,1,0
2018-02-05,CA,camping,7150,1,0
2018-02-05,AU,outdoor,3746,1,0
2018-02-05,AU,retail,5475,1,0
2018-02-05,CA,hiking,11915,1,0
2018-02-05,AU,hobbies,8670,1,0
2018-02-06,AU,retail,5740,1,0
2018-02-06,CA,hiking,9818,1,0
2018-02-06,CA,camping,6495,1,0
2018-02-06,AU,outdoor,4091,1,0
2018-02-06,AU,hobbies,6637,1,0
2018-02-07,AU,hobbies,8022,1,0
2018-02-07,CA,camping,8721,1,0
2018-02-07,CA,hiking,11992,1,0
2018-02-07,AU,outdoor,3779,1,0
2018-02-07,AU,retail,4606,1,0
2018-02-08,CA,camping,6621,1,0
2018-02-08,CA,hiking,11545,1,0
2018-02-08,AU,hobbies,8953,1,0
2018-02-08,AU,outdoor,4523,1,0
2018-02-08,AU,retail,6384,1,0
2018-02-09,CA,hiking,12821,1,0
2018-02-09,CA,camping,7187,1,0
2018-02-09,AU,retail,5942,1,0
2018-02-09,AU,outdoor,4857,1,0
2018-02-09,AU,hobbies,8145,1,0
2018-02-10,AU,outdoor,5105,1,0
2018-02-10,CA,camping,8086,1,0
2018-02-10,CA,hiking,10112,1,0
2018-02-10,AU,retail,5678,1,0
2018-02-10,AU,hobbies,8221,1,0
2018-02-11,CA,camping,7852,1,0
2018-02-11,AU,retail,7274,1,0
2018-02-11,CA,hiking,10161,1,0
2018-02-11,AU,hobbies,7394,1,0
2018-02-11,AU,outdoor,3427,1,0
2018-02-12,AU,outdoor,4878,1,0
2018-02-12,AU,hobbies,6737,1,0
2018-02-12,AU,retail,5931,1,0
2018-02-12,CA,hiking,11285,1,0
2018-02-12,CA,camping,7482,1,0
2018-02-13,AU,outdoor,5741,1,0
2018-02-13,AU,hobbies,8889,1,0
2018-02-13,CA,hiking,11654,1,0
2018-02-13,AU,retail,5557,1,0
2018-02-13,CA,camping,5715,1,0
2018-02-14,AU,outdoor,5949,1,0
2018-02-14,AU,retail,6780,1,0
2018-02-14,AU,hobbies,10208,1,0
2018-02-14,CA,hiking,11977,1,0
2018-02-14,CA,camping,7657,1,0
2018-02-15,AU,hobbies,8737,1,0
2018-02-15,AU,outdoor,5846,1,0
2018-02-15,AU,retail,5486,1,0
2018-02-15,CA,hiking,11130,1,0
2018-02-15,CA,camping,7003,1,0
2018-02-16,AU,retail,6104,1,0
2018-02-16,CA,camping,6636,1,0
2018-02-16,AU,outdoor,5303,1,0
2018-02-16,AU,hobbies,9323,1,0
2018-02-16,CA,hiking,10776,1,0
2018-02-17,CA,hiking,11337,1,0
2018-02-17,AU,outdoor,6598,1,0
2018-02-17,CA,camping,6926,1,0
2018-02-17,AU,hobbies,9377,1,0
2018-02-17,AU,retail,6090,1,0
2018-02-18,AU,retail,6126,1,0
2018-02-18,AU,outdoor,5772,1,0
2018-02-18,AU,hobbies,7307,1,0
2018-02-18,CA,camping,6732,1,0
2018-02-18,CA,hiking,11497,1,0
2018-02-19,AU,hobbies,9156,1,0
2018-02-19,CA,hiking,11532,1,0
2018-02-19,CA,camping,5457,1,0
2018-02-19,AU,retail,6550,1,0
2018-02-19,AU,outdoor,7438,1,0
2018-02-20,AU,hobbies,9831,1,0
2018-02-20,AU,retail,6633,1,0
2018-02-20,CA,hiking,10334,1,0
2018-02-20,AU,outdoor,5924,1,0
2018-02-20,CA,camping,7044,1,0
2018-02-21,AU,outdoor,4701,1,0
2018-02-21,AU,retail,5393,1,0
2018-02-21,CA,camping,5932,1,0
2018-02-21,CA,hiking,12190,1,0
2018-02-21,AU,hobbies,9386,1,0
2018-02-22,AU,hobbies,9924,1,0
2018-02-22,AU,outdoor,6551,1,0
2018-02-22,AU,retail,5163,1,0
2018-02-22,CA,camping,5525,1,0
2018-02-22,CA,hiking,10608,1,0
2018-02-23,AU,outdoor,7230,1,0
2018-02-23,CA,camping,5772,1,0
2018-02-23,CA,hiking,11316,1,0
2018-02-23,AU,retail,6913,1,0
2018-02-23,AU,hobbies,10777,1,0
2018-02-24,CA,hiking,12107,1,0
2018-02-24,AU,outdoor,6187,1,0
2018-02-24,AU,hobbies,9879,1,0
2018-02-24,AU,retail,7949,1,0
2018-02-24,CA,camping,6542,1,0
2018-02-25,CA,camping,4684,1,0
2018-02-25,CA,hiking,10528,1,0
2018-02-25,AU,hobbies,8964,1,0
2018-02-25,AU,outdoor,7916,1,0
2018-02-25,AU,retail,7272,1,0
2018-02-26,CA,hiking,11075,1,0
2018-02-26,AU,hobbies,9349,1,0
2018-02-26,AU,retail,7116,1,0
2018-02-26,AU,outdoor,7050,1,0
2018-02-26,CA,camping,5489,1,0
2018-02-27,AU,retail,7030,1,0
2018-02-27,AU,hobbies,9201,1,0
2018-02-27,AU,outdoor,8042,1,0
2018-02-27,CA,camping,4906,1,0
2018-02-27,CA,hiking,10206,1,0
2018-02-28,AU,outdoor,6906,1,0
2018-02-28,AU,retail,5141,1,0
2018-02-28,AU,hobbies,9520,1,0
2018-02-28,CA,camping,5555,1,0
2018-02-28,CA,hiking,11895,1,0
2018-03-01,AU,retail,5876,1,0
2018-03-01,AU,hobbies,11716,1,0
2018-03-01,CA,camping,5537,1,0
2018-03-01,AU,outdoor,7615,1,0
2018-03-01,CA,hiking,11687,1,0
2018-03-02,AU,outdoor,8862,1,0
2018-03-02,AU,hobbies,11305,1,0
2018-03-02,AU,retail,7356,1,0
2018-03-02,CA,camping,6429,1,0
2018-03-02,CA,hiking,11294,1,0
2018-03-03,AU,hobbies,10138,1,0
2018-03-03,CA,camping,4664,1,0
2018-03-03,CA,hiking,10809,1,0
2018-03-03,AU,retail,8858,1,0
2018-03-03,AU,outdoor,5926,1,0
2018-03-04,AU,outdoor,6383,1,0
2018-03-04,CA,camping,5559,1,0
2018-03-04,CA,hiking,11200,1,0
2018-03-04,AU,retail,6918,1,0
2018-03-04,AU,hobbies,10604,1,0
2018-03-05,CA,camping,5985,1,0
2018-03-05,AU,hobbies,11668,1,0
2018-03-05,AU,retail,8599,1,0
2018-03-05,AU,outdoor,6827,1,0
2018-03-05,CA,hiking,12004,1,0
2018-03-06,AU,outdoor,6236,1,0
2018-03-06,AU,hobbies,10405,1,0
2018-03-06,AU,retail,6600,1,0
2018-03-06,CA,hiking,11261,1,0
2018-03-06,CA,camping,5129,1,0
2018-03-07,CA,camping,3985,1,0
2018-03-07,AU,retail,6218,1,0
2018-03-07,CA,hiking,9972,1,0
2018-03-07,AU,outdoor,7717,1,0
2018-03-07,AU,hobbies,10546,1,0
2018-03-08,AU,retail,7615,1,0
2018-03-08,AU,outdoor,6294,1,0
2018-03-08,AU,hobbies,10011,1,0
2018-03-08,CA,hiking,12261,1,0
2018-03-08,CA,camping,5247,1,0
2018-03-09,AU,retail,9169,1,0
2018-03-09,AU,hobbies,10691,1,0
2018-03-09,CA,camping,5038,1,0
2018-03-09,AU,outdoor,7852,1,0
2018-03-09,CA,hiking,12252,1,0
2018-03-10,AU,outdoor,6867,1,0
2018-03-10,CA,camping,7956,1,0
2018-03-10,AU,retail,7512,1,0
2018-03-10,CA,hiking,10270,1,0
2018-03-10,AU,hobbies,10743,1,0
2018-03-11,AU,retail,6928,1,0
2018-03-11,CA,camping,6565,1,0
2018-03-11,CA,hiking,11125,1,0
2018-03-11,AU,hobbies,12609,1,0
2018-03-11,AU,outdoor,7134,1,0
2018-03-12,AU,retail,8789,1,0
2018-03-12,CA,hiking,11690,1,0
2018-03-12,AU,hobbies,12278,1,0
2018-03-12,CA,camping,6179,1,0
2018-03-12,AU,outdoor,6472,1,0
2018-03-13,CA,camping,5003,1,0
2018-03-13,AU,retail,8304,1,0
2018-03-13,CA,hiking,12884,1,0
2018-03-13,AU,hobbies,10733,1,0
2018-03-13,AU,outdoor,5256,1,0
2018-03-14,CA,hiking,10916,1,0
2018-03-14,AU,outdoor,7076,1,0
2018-03-14,AU,retail,6954,1,0
2018-03-14,CA,camping,3979,1,0
2018-03-14,AU,hobbies,11384,1,0
2018-03-15,AU,outdoor,4991,1,0
2018-03-15,CA,hiking,11459,1,0
2018-03-15,CA,camping,4573,1,0
2018-03-15,AU,retail,7087,1,0
2018-03-15,AU,hobbies,12473,1,0
2018-03-16,AU,outdoor,6965,1,0
2018-03-16,AU,hobbies,11621,1,0
2018-03-16,AU,retail,9098,1,0
2018-03-16,CA,hiking,11838,1,0
2018-03-16,CA,camping,3990,1,0
2018-03-17,CA,camping,4929,1,0
2018-03-17,AU,hobbies,10931,1,0
2018-03-17,CA,hiking,10210,1,0
2018-03-17,AU,outdoor,7085,1,0
2018-03-17,AU,retail,7551,1,0
2018-03-18,CA,camping,4949,1,0
2018-03-18,AU,hobbies,10562,1,0
2018-03-18,CA,hiking,11181,1,0
2018-03-18,AU,retail,8049,1,0
2018-03-18,AU,outdoor,8054,1,0
2018-03-19,AU,hobbies,11640,1,0
2018-03-19,CA,hiking,9939,1,0
2018-03-19,AU,outdoor,6272,1,0
2018-03-19,AU,retail,9184,1,0
2018-03-19,CA,camping,4581,1,0
2018-03-20,CA,hiking,9708,1,0
2018-03-20,AU,hobbies,11312,1,0
2018-03-20,AU,outdoor,6226,1,0
2018-03-20,AU,retail,7450,1,0
2018-03-20,CA,camping,5358,1,0
2018-03-21,AU,hobbies,11164,1,0
2018-03-21,AU,outdoor,6555,1,0
2018-03-21,CA,camping,4071,1,0
2018-03-21,CA,hiking,11135,1,0
2018-03-21,AU,retail,7022,1,0
2018-03-22,AU,hobbies,10553,1,0
2018-03-22,CA,hiking,10268,1,0
2018-03-22,AU,retail,6166,1,0
2018-03-22,AU,outdoor,7535,1,0
2018-03-22,CA,camping,4785,1,0
2018-03-23,CA,camping,4496,1,0
2018-03-23,CA,hiking,10396,1,0
2018-03-23,AU,outdoor,4375,1,0
2018-03-23,AU,retail,9685,1,0
2018-03-23,AU,hobbies,12954,1,0
2018-03-24,CA,hiking,10738,1,0
2018-03-24,CA,camping,5137,1,0
2018-03-24,AU,outdoor,0,1,0
2018-03-24,AU,retail,7200,1,0
2018-03-24,AU,hobbies,10494,1,0
2018-03-25,CA,hiking,10241,1,0
2018-03-25,AU,outdoor,7053,1,0
2018-03-25,CA,camping,4358,1,0
2018-03-25,AU,retail,8138,1,0
2018-03-25,AU,hobbies,783,1,0
2018-03-26,CA,hiking,9243,1,0
2018-03-26,AU,retail,10018,1,0
2018-03-26,CA,camping,6175,1,0
2018-03-26,AU,hobbies,12193,1,0
2018-03-26,AU,outdoor,7071,1,0
2018-03-27,CA,camping,5910,1,0
2018-03-27,AU,retail,8862,1,0
2018-03-27,AU,outdoor,7562,1,0
2018-03-27,CA,hiking,10038,1,0
2018-03-27,AU,hobbies,11908,1,0
2018-03-28,AU,hobbies,12701,1,0
2018-03-28,CA,hiking,7932,1,0
2018-03-28,AU,outdoor,6368,1,0
2018-03-28,CA,camping,4965,1,0
2018-03-28,AU,retail,6114,1,0
2018-03-29,CA,hiking,10178,1,0
2018-03-29,AU,hobbies,10489,1,0
2018-03-29,AU,outdoor,6416,1,0
2018-03-29,CA,camping,4560,1,0
2018-03-29,AU,retail,6802,1,0
2018-03-30,AU,outdoor,7618,1,0
2018-03-30,CA,hiking,9749,1,0
2018-03-30,AU,hobbies,12088,1,0
2018-03-30,CA,camping,6029,1,0
2018-03-30,AU,retail,7882,1,0
2018-03-31,AU,retail,8328,1,0
2018-03-31,AU,hobbies,10932,1,0
2018-03-31,AU,outdoor,6256,1,0
2018-03-31,CA,camping,6481,1,0
2018-03-31,CA,hiking,10146,1,0
2018-04-01,CA,camping,4845,1,0
2018-04-01,AU,outdoor,6655,1,0
2018-04-01,AU,hobbies,11850,1,0
2018-04-01,AU,retail,6465,1,0
2018-04-01,CA,hiking,11464,1,0
2018-04-02,CA,camping,3750,1,0
2018-04-02,AU,retail,10808,1.075587418,1
2018-04-02,AU,outdoor,7028,1,0
2018-04-02,AU,hobbies,12039,1,0
2018-04-02,CA,hiking,9385,1,0
2018-04-03,AU,hobbies,13775,1,0
2018-04-03,AU,retail,10757,1.189709651,2
2018-04-03,CA,camping,5144,1,0
2018-04-03,AU,outdoor,6162,1,0
2018-04-03,CA,hiking,8981,1,0
2018-04-04,AU,outdoor,6233,1,0
2018-04-04,CA,hiking,8420,1,0
2018-04-04,AU,hobbies,11891,1,0
2018-04-04,AU,retail,8963,1.260097261,3
2018-04-04,CA,camping,5361,1,0
2018-04-05,CA,camping,5479,1,0
2018-04-05,AU,outdoor,6064,1,0
2018-04-05,AU,hobbies,11607,1,0
2018-04-05,AU,retail,10498,1.294490472,4
2018-04-05,CA,hiking,7968,1,0
2018-04-06,AU,hobbies,1385,1,0
2018-04-06,CA,hiking,9014,1,0
2018-04-06,AU,retail,11971,1.306305495,5
2018-04-06,AU,outdoor,7488,1,0
2018-04-06,CA,camping,3172,1,0
2018-04-07,CA,camping,4427,1,0
2018-04-07,AU,retail,11487,1.30483192,6
2018-04-07,AU,outdoor,6748,1,0
2018-04-07,AU,hobbies,11941,1,0
2018-04-07,CA,hiking,8944,1,0
2018-04-08,AU,retail,11440,1.29581952,7
2018-04-08,CA,hiking,8814,1,0
2018-04-08,CA,camping,5979,1,0
2018-04-08,AU,hobbies,10501,1,0
2018-04-08,AU,outdoor,6414,1,0
2018-04-09,CA,camping,4738,1,0
2018-04-09,AU,retail,11558,1.282745028,8
2018-04-09,AU,outdoor,6714,1,0
2018-04-09,CA,hiking,8641,1,0
2018-04-09,AU,hobbies,10684,1,0
2018-04-10,AU,hobbies,11082,1,0
2018-04-10,CA,camping,5171,1,0
2018-04-10,AU,outdoor,5344,1,0
2018-04-10,AU,retail,8654,1.26770148,9
2018-04-10,CA,hiking,8784,1,0
2018-04-11,AU,outdoor,4560,1,0
2018-04-11,AU,retail,8876,1.251944925,10
2018-04-11,AU,hobbies,11158,1,0
2018-04-11,CA,hiking,8857,1,0
2018-04-11,CA,camping,3970,1,0
2018-04-12,CA,hiking,9528,1,0
2018-04-12,AU,outdoor,7436,1,0
2018-04-12,AU,hobbies,9553,1,0
2018-04-12,CA,camping,4510,1,0
2018-04-12,AU,retail,10658,1.236222015,11
2018-04-13,CA,hiking,7910,1,0
2018-04-13,AU,hobbies,11016,1,0
2018-04-13,CA,camping,6294,1,0
2018-04-13,AU,outdoor,6970,1,0
2018-04-13,AU,retail,11384,1.220966792,12
2018-04-14,AU,hobbies,10370,1,0
2018-04-14,CA,hiking,5962,1,0
2018-04-14,CA,camping,5965,1,0
2018-04-14,AU,outdoor,7463,1,0
2018-04-14,AU,retail,10468,1.206420168,13
2018-04-15,CA,camping,4262,1,0
2018-04-15,AU,retail,8224,1.192703418,14
2018-04-15,AU,outdoor,8025,1,0
2018-04-15,CA,hiking,8274,1,0
2018-04-15,AU,hobbies,11102,1,0
2018-04-16,CA,camping,5500,1,0
2018-04-16,AU,retail,11452,1.179863906,15
2018-04-16,AU,hobbies,12114,1,0
2018-04-16,CA,hiking,7803,1,0
2018-04-16,AU,outdoor,6503,1,0
2018-04-17,AU,hobbies,12012,1,0
2018-04-17,AU,retail,8919,1.167903834,16
2018-04-17,CA,hiking,7115,1,0
2018-04-17,AU,outdoor,8596,1,0
2018-04-17,CA,camping,5987,1,0
2018-04-18,AU,outdoor,7446,1,0
2018-04-18,CA,hiking,6963,1,0
2018-04-18,CA,camping,6148,1,0
2018-04-18,AU,hobbies,11508,1,0
2018-04-18,AU,retail,8070,1.156798448,17
2018-04-19,CA,camping,4496,1,0
2018-04-19,CA,hiking,7928,1,0
2018-04-19,AU,hobbies,10873,1,0
2018-04-19,AU,retail,10646,1.146507609,18
2018-04-19,AU,outdoor,7067,1,0
2018-04-20,CA,hiking,6964,1,0
2018-04-20,AU,retail,11078,1.136983151,19
2018-04-20,AU,hobbies,10734,1,0
2018-04-20,CA,camping,6045,1,0
2018-04-20,AU,outdoor,8315,1,0
2018-04-21,AU,hobbies,11024,1,0
2018-04-21,CA,hiking,7092,1,0
2018-04-21,AU,retail,9080,1.128173531,20
2018-04-21,AU,outdoor,6876,1,0
2018-04-21,CA,camping,5124,1,0
2018-04-22,CA,hiking,8388,1,0
2018-04-22,AU,hobbies,12791,1,0
2018-04-22,AU,outdoor,6782,1,0
2018-04-22,CA,camping,4759,1,0
2018-04-22,AU,retail,8023,1.120026738,21
2018-04-23,CA,camping,5573,1,0
2018-04-23,AU,retail,8012,1.112492063,22
2018-04-23,CA,hiking,7052,1,0
2018-04-23,AU,hobbies,10185,1,0
2018-04-23,AU,outdoor,6802,1,0
2018-04-24,CA,hiking,7379,1,0
2018-04-24,AU,outdoor,9260,1,0
2018-04-24,AU,retail,9364,1.105521135,23
2018-04-24,AU,hobbies,11574,1,0
2018-04-24,CA,camping,6337,1,0
2018-04-25,CA,camping,5213,1,0
2018-04-25,AU,retail,8343,1.099068477,24
2018-04-25,AU,outdoor,7300,1,0
2018-04-25,AU,hobbies,10729,1,0
2018-04-25,CA,hiking,6667,1,0
2018-04-26,AU,outdoor,7433,1,0
2018-04-26,CA,camping,4597,1,0
2018-04-26,AU,hobbies,11896,1,0
2018-04-26,CA,hiking,7707,1,0
2018-04-26,AU,retail,7579,1.09309176,25
2018-04-27,AU,outdoor,7496,1,0
2018-04-27,CA,camping,5741,1,0
2018-04-27,AU,retail,8475,1.087551854,26
2018-04-27,CA,hiking,8214,1,0
2018-04-27,AU,hobbies,9649,1,0
2018-04-28,AU,retail,8920,1.082412766,27
2018-04-28,CA,hiking,8665,1,0
2018-04-28,AU,outdoor,8610,1,0
2018-04-28,CA,camping,5129,1,0
2018-04-28,AU,hobbies,12283,1,0
2018-04-29,AU,outdoor,7095,1,0
2018-04-29,CA,hiking,7903,1,0
2018-04-29,AU,hobbies,11167,1,0
2018-04-29,AU,retail,8815,1.0776415,28
2018-04-29,CA,camping,3491,1,0
2018-04-30,AU,hobbies,10963,1,0
2018-04-30,CA,camping,6531,1,0
2018-04-30,AU,outdoor,6402,1,0
2018-04-30,AU,retail,9521,1.073207876,29
2018-04-30,CA,hiking,7733,1,0
2018-05-01,AU,hobbies,11933,1,0
2018-05-01,CA,camping,6328,1,0
2018-05-01,CA,hiking,8530,1,0
2018-05-01,AU,retail,9285,1,0
2018-05-01,AU,outdoor,8025,1,0
2018-05-02,CA,hiking,8022,1,0
2018-05-02,AU,retail,7646,1,0
2018-05-02,CA,camping,4291,1,0
2018-05-02,AU,outdoor,8502,1,0
2018-05-02,AU,hobbies,12661,1,0
2018-05-03,AU,retail,8007,1,0
2018-05-03,AU,outdoor,6683,1,0
2018-05-03,CA,hiking,8124,1,0
2018-05-03,AU,hobbies,11755,1,0
2018-05-03,CA,camping,4564,1,0
2018-05-04,AU,hobbies,10988,1,0
2018-05-04,AU,outdoor,8531,1,0
2018-05-04,CA,camping,4774,1,0
2018-05-04,AU,retail,8022,1,0
2018-05-04,CA,hiking,7848,1,0
2018-05-05,AU,outdoor,7907,1,0
2018-05-05,CA,hiking,7416,1,0
2018-05-05,CA,camping,5158,1,0
2018-05-05,AU,hobbies,11528,1,0
2018-05-05,AU,retail,6959,1,0
2018-05-06,CA,hiking,10286,1,0
2018-05-06,AU,retail,7199,1,0
2018-05-06,AU,hobbies,11934,1,0
2018-05-06,CA,camping,4104,1,0
2018-05-06,AU,outdoor,7815,1,0
2018-05-07,AU,retail,8259,1,0
2018-05-07,CA,camping,4805,1,0
2018-05-07,AU,hobbies,11842,1,0
2018-05-07,AU,outdoor,9294,1,0
2018-05-07,CA,hiking,8612,1,0
2018-05-08,CA,camping,0,1,0
2018-05-08,CA,hiking,8117,1,0
2018-05-08,AU,outdoor,9511,1,0
2018-05-08,AU,hobbies,12022,1,0
2018-05-08,AU,retail,8625,1,0
2018-05-09,AU,outdoor,7512,1,0
2018-05-09,CA,hiking,8147,1,0
2018-05-09,AU,hobbies,11388,1,0
2018-05-09,AU,retail,6947,1,0
2018-05-09,CA,camping,3354,1,0
2018-05-10,AU,outdoor,6854,1,0
2018-05-10,CA,hiking,7943,1,0
2018-05-10,CA,camping,4803,1,0
2018-05-10,AU,hobbies,10547,1,0
2018-05-10,AU,retail,7304,1,0
2018-05-11,CA,hiking,9303,1,0
2018-05-11,AU,outdoor,471,1,0
2018-05-11,AU,retail,8305,1,0
2018-05-11,CA,camping,4636,1,0
2018-05-11,AU,hobbies,11968,1,0
2018-05-12,AU,retail,7470,1,0
2018-05-12,AU,outdoor,7640,1,0
2018-05-12,CA,camping,5184,1,0
2018-05-12,AU,hobbies,11949,1,0
