state,year,violent,murder,rape,robbery,assault,property,burglary,larceny,motor,pop,prison_incarceration_rate,p0to17,p18to24,p25to44,p45to64,p65,black,urate,poverty,income
SC,2005,767,7.4,43.8,133.2,582.9,4370,1006.4,2978,386,4246933,545.3347157,0.2414058668,0.1001033352,0.2792822138,0.2534813069,0.1257272772,0.2924930019,6.8,0.156,29131
SD,2005,179,2.3,48.7,18.7,109.3,1767,323.3,1336,108,774883,446.9061781,0.2426369287,0.1109812316,0.2562399073,0.2476940664,0.142447866,0.008252001139,3.7,0.136,33306
TN,2005,757,7.2,36.8,168.1,545.2,4300,1032.8,2844,424,5955745,442.748976,0.2331932854,0.09660069774,0.2889937697,0.2554439834,0.1257682637,0.1681440372,5.6,0.155,31327
TX,2005,528,6.1,37.1,156.1,328.8,4319,958.8,2953,408,22928508,737.0867742,0.2767407636,0.1057142775,0.2941193531,0.2240446706,0.09938093527,0.1169426396,5.4,0.176,33220
UT,2005,225,2.2,36.9,44,142.2,3837,601.2,2894,341,2490334,255.9094483,0.3006804787,0.1293411646,0.2937756749,0.1887300903,0.08747259155,0.009615380722,4.1,0.102,29104
VA,2005,283,6.1,23.3,99.1,154.9,2649,394.3,2044,211,7564327,467.2457973,0.2411068964,0.09986329636,0.2887145167,0.255996559,0.1143187316,0.1988301234,3.5,0.1,38898
VT,2005,126,1.3,24.6,12.2,87.6,2370,511.7,1750,108,622387,333.8758682,0.2128545061,0.1021346601,0.2639386887,0.2894904101,0.131581735,0.006265949763,3.5,0.115,33317
WA,2005,346,3.3,44.7,92,205.7,4890,959.1,3147,783,6291899,276.2599972,0.2360721841,0.1026011016,0.2896642508,0.2570152577,0.1146472058,0.03524244488,5.5,0.119,36766
WI,2005,242,3.7,20.5,82.4,135.2,2669,442.3,2000,228,5527644,411.0250226,0.2340946436,0.1033277152,0.2758846725,0.2563449196,0.1303480491,0.05978034396,4.8,0.102,33635
WV,2005,274,4.5,18.5,45,205.9,2633,624.8,1797,211,1814083,292.820119,0.2105268662,0.0925296226,0.2624076977,0.2813216898,0.1532141237,0.03201959869,4.9,0.18,26443
WY,2005,230,2.8,24,15.3,188.3,3158,476.8,2536,145,508798,402.3207638,0.2244695598,0.1118725137,0.2553161828,0.2865319442,0.1218097994,0.008769001795,3.7,0.095,38839
