index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry,gdp_growth
2,UK,2002,28969,1.634458,,,,,,26.99038,7.189373
2,UK,2003,29609,2.913632,,,,,,26.59016,2.209258
3,Austria,1960,1796,,48.126095,48.7,,,,,
3,Austria,1961,1899,3.542256,46.52596,,,,,,5.7349668
3,Austria,1962,1977,4.381785,47.171013,,,,,,4.1074247
3,Austria,1963,2074,2.70877,47.977253,,,,,,4.906424
3,Austria,1964,2224,3.868571,48.415096,,,,,,7.2324014
3,Austria,1965,2336,4.930911,49.6133,47.6,,,,,5.035971
3,Austria,1966,2537,2.205882,50.31641,,,,,,8.604452
3,Austria,1967,2668,3.975,49.683853,,,,,,5.163579
3,Austria,1968,2908,2.773103,50.410915,,,,,,8.995502
3,Austria,1969,3239,3.080402,54.232513,,,,,,11.382394
3,Austria,1970,3732,4.372825,59.711964,46.5,,,,,15.220747
3,Austria,1971,4100,4.704262,59.185368,,,,,41.21851,9.860664
3,Austria,1972,4513,6.362063,59.09092,,,,,41.52563,10.073171
3,Austria,1973,4969,7.524082,59.26243,,,,,42.23682,10.104143
3,Austria,1974,5622,9.521791,64.81173,,,,,42.26027,13.141478
3,Austria,1975,6147,8.445255,61.598152,45.6,,,,40.12814,9.338314
3,Austria,1976,6810,7.318689,65.17087,,,,,39.3979,10.785749
3,Austria,1977,7588,5.475,65.20969,,,,,39.05883,11.424376
3,Austria,1978,8117,3.579047,64.74067,,,,,39.23565,6.971534
3,Austria,1979,9288,3.707094,69.698715,,,,,38.1772,14.426513
3,Austria,1980,10312,6.32539,73.99586,61.8,0.26338,0.31104,26.642,38.09647,11.024979
3,Austria,1981,11242,6.806862,76.07967,,,,,37.83085,9.01862
3,Austria,1982,12148,5.440414,71.684555,,,,,36.90459,8.059064
3,Austria,1983,13048,3.335381,70.53411,,,,,36.41043,7.408627
3,Austria,1984,13533,5.664864,75.512695,,,,,35.23595,3.7170448
3,Austria,1985,14296,3.189694,79.065735,60.0,,,,35.58244,5.63807
3,Austria,1986,14921,1.700921,70.925285,,,,,35.29153,4.3718524
3,Austria,1987,15549,1.4,69.633995,,,,,34.79196,4.208833
3,Austria,1988,16595,1.931295,74.93547,,,,,34.58339,6.727121
3,Austria,1989,17768,2.563896,78.906845,,,,,34.11145,7.068394
3,Austria,1990,19070,3.262322,79.02966,57.9,,,,34.11053,7.3277802
3,Austria,1991,20172,3.334348,78.7691,,,,,33.98061,5.77871
3,Austria,1992,20960,4.029763,76.00291,,,,,33.03325,3.906405
3,Austria,1993,21220,3.625806,73.35833,,,,,32.18623,1.240458
3,Austria,1994,22139,2.959065,75.14964,,,,,32.13828,4.33082
3,Austria,1995,22976,2.2501,77.78494,55.7,,,,32.44965,3.7806585
3,Austria,1996,24008,1.843557,80.74392,,,,,32.29562,4.4916434
3,Austria,1997,24472,1.325,85.25793,,,,,32.72698,1.9326891
3,Austria,1998,25314,0.9046797,,,,,,32.84259,3.440667
3,Austria,1999,26558,0.562393,,,,,,32.90003,4.9142766
3,Austria,2000,28359,2.350462,,55.0,,,,32.77485,6.781384
3,Austria,2001,28855,2.659962,,,,,,32.1686,1.7490039
3,Austria,2002,29942,1.810212,,,,,,31.98478,3.7671113
3,Austria,2003,30796,1.363419,,,,,,31.73713,2.852181
4,Belgium,1960,1782,,77.34178,27.1,,,,,
4,Belgium,1961,1883,0.9831461,80.01627,,,,,,5.667789
4,Belgium,1962,2018,1.404729,82.43776,,,,,,7.1694107
4,Belgium,1963,2122,2.15334,85.66539,,,,,,5.1536174
4,Belgium,1964,2288,4.175618,86.62045,,,,,,7.8228087
4,Belgium,1965,2414,4.059802,85.26191,28.5,,,,,5.506993
4,Belgium,1966,2559,4.173892,89.370125,,,,,,6.006628
4,Belgium,1967,2719,2.912852,86.23965,,,,,,6.2524424
4,Belgium,1968,2958,2.703327,90.62302,,,,,,8.789996
4,Belgium,1969,3308,3.745782,97.94964,,,,,,11.832319
4,Belgium,1970,3797,3.914128,100.42813,28.7,,,,,14.782346
4,Belgium,1971,4129,4.340568,97.9751,,,,,42.50227,8.743745
4,Belgium,1972,4512,5.4475,97.54892,,,,,41.94415,9.275854
4,Belgium,1973,5039,6.955278,107.77507,,,,,42.51509,11.679964
4,Belgium,1974,5707,12.67789,120.51753,,,,,43.29301,13.256598
4,Belgium,1975,6146,12.7682,104.77955,30.3,,,,40.01701,7.6923075
4,Belgium,1976,6854,9.1587,110.838104,,,,,40.13395,11.519688
4,Belgium,1977,7326,7.110848,109.5376,,,,,39.49528,6.88649
4,Belgium,1978,8056,4.470595,105.68562,,,,,38.45702,9.96451
4,Belgium,1979,8921,4.469084,116.28985,,,,,38.20924,10.737339
4,Belgium,1980,10156,6.650975,117.16876,31.6,0.26864,0.28246,21.876,36.84375,13.8437395
4,Belgium,1981,11079,7.628274,126.35263,,,,,34.46517,9.088223
4,Belgium,1982,11827,8.725851,134.42366,,,,,34.4062,6.751512
4,Belgium,1983,12334,7.66337,137.18913,,,,,34.14059,4.2868013
4,Belgium,1984,13113,6.347517,146.64285,,,,,33.48085,6.315875
4,Belgium,1985,13735,4.867676,140.55513,32.6,,,,34.2135,4.7433844
4,Belgium,1986,14292,1.295501,126.71104,,,,,33.22915,4.055333
4,Belgium,1987,15013,1.554483,122.64662,,,,,32.1018,5.0447803
4,Belgium,1988,16209,1.162051,129.20561,,,,,32.88089,7.966429
4,Belgium,1989,17345,3.10545,138.38467,,,,,33.22943,7.008452
4,Belgium,1990,18526,3.452823,134.00658,32.6,,,,32.6643,6.8088784
4,Belgium,1991,19453,3.208552,130.8264,,,,,30.66162,5.0037785
4,Belgium,1992,20123,2.429914,126.43597,,,,,30.11093,3.4441988
4,Belgium,1993,20308,2.753963,120.23799,,,,,28.99867,0.91934603
4,Belgium,1994,21340,2.377799,125.53788,,,,,28.92364,5.0817413
4,Belgium,1995,22248,1.466814,129.36067,30.5,,,,29.53443,4.2549205
4,Belgium,1996,22687,2.058919,131.87495,,,,,29.14131,1.973211
4,Belgium,1997,23416,1.627459,141.31438,,,,,29.25781,3.213294
4,Belgium,1998,24164,0.9536226,149.6824,,,,,28.63953,3.194397
4,Belgium,1999,24792,1.119242,,,,,,27.95392,2.5989075
4,Belgium,2000,26631,2.546246,,28.0,,,,28.08952,7.4177155
4,Belgium,2001,28001,2.471273,,,,,,27.25738,5.1443806
4,Belgium,2002,29330,1.643454,,,,,,27.01092,4.746259
4,Belgium,2003,30082,1.591312,,,,,,26.48478,2.5639277
5,Denmark,1960,2329,,65.782196,46.1,,,,,
5,Denmark,1961,2485,3.451629,61.540672,,,,,,6.6981535
5,Denmark,1962,2665,7.37782,60.33738,,,,,,7.2434607
5,Denmark,1963,2700,6.105033,60.416042,,,,,,1.3133209
5,Denmark,1964,2980,3.092783,61.6781,,,,,,10.37037
5,Denmark,1965,3177,5.45,61.38874,45.5,,,,,6.6107383
5,Denmark,1966,3377,7.06496,59.87274,,,,,,6.295247
5,Denmark,1967,3580,8.207853,57.85473,,,,,,6.0112524
5,Denmark,1968,3892,7.953615,57.879894,,,,,,8.715084
5,Denmark,1969,4352,3.487931,58.468327,,,,,,11.819117
5,Denmark,1970,4541,6.514837,60.321808,44.5,,,,,4.3428307
5,Denmark,1971,4858,5.869877,58.494747,,,,,31.78034,6.980841
5,Denmark,1972,5262,6.562348,54.942623,,,,,31.53147,8.316179
5,Denmark,1973,5719,9.303389,60.465103,,,,,30.28473,8.684911
5,Denmark,1974,6121,15.2752,68.138985,,,,,29.58704,7.029201
5,Denmark,1975,6565,9.605614,62.650646,44.9,,,,29.25056,7.253717
5,Denmark,1976,7371,9.0,63.949295,,,,,28.24987,12.277227
5,Denmark,1977,7901,11.13914,62.842953,,,,,28.02203,7.1903405
5,Denmark,1978,8585,10.00894,59.20886,,,,,27.56307,8.657132
5,Denmark,1979,9566,9.611055,62.88595,,,,,26.88064,11.426908
5,Denmark,1980,10362,12.30532,68.160645,43.4,0.29344,0.33284,22.217999,28.23314,8.321137
5,Denmark,1981,11106,11.79159,74.18737,,,,,26.5771,7.180081
5,Denmark,1982,12115,10.08994,74.13429,,,,,26.75725,9.085179
5,Denmark,1983,12822,6.907309,72.48873,,,,,26.98976,5.835741
5,Denmark,1984,13777,6.322079,73.978584,,,,,27.29058,7.448136
5,Denmark,1985,14698,4.652379,74.85047,42.5,,,,27.62063,6.685055
5,Denmark,1986,15608,3.721279,66.16891,,,,,28.24608,6.1913185
5,Denmark,1987,16024,3.985071,62.581482,,,,,27.91802,2.6653
5,Denmark,1988,16766,4.550191,63.53234,,,,,27.08609,4.630554
5,Denmark,1989,17418,4.784053,67.06669,,,,,27.02068,3.8888226
5,Denmark,1990,18237,2.652716,66.58468,49.9,,,,26.54429,4.7020326
5,Denmark,1991,19070,2.36796,68.53211,,,,,26.16956,4.5676374
5,Denmark,1992,19829,2.101981,66.43089,,,,,26.34534,3.9800735
5,Denmark,1993,20199,1.250985,63.97609,,,,,25.19012,1.8659539
5,Denmark,1994,21691,1.994357,65.61267,,,,,25.31154,7.386504
5,Denmark,1995,22693,2.098436,66.71786,47.0,,,,25.75751,4.619427
5,Denmark,1996,23781,2.11136,66.07381,,,,,25.95113,4.79443
5,Denmark,1997,24878,2.195791,68.58707,,,,,26.04515,4.6129265
5,Denmark,1998,25669,1.853178,,,,,,26.00064,3.179516
5,Denmark,1999,27113,2.478685,,,,,,26.2223,5.6254625
5,Denmark,2000,28798,2.924779,,46.5,,,,27.18491,6.2147307
5,Denmark,2001,29837,2.35,,,,,,26.28203,3.6078894
5,Denmark,2002,30318,2.426315,,,,,,26.40067,1.6120924
5,Denmark,2003,30853,2.09062,,,,,,26.40539,1.7646283
6,France,1960,1858,,26.919622,25.7,,,,,
6,France,1961,1959,2.414562,26.21155,,,,,,5.4359527
6,France,1962,2099,5.24725,24.89856,,,,,,7.1465034
6,France,1963,2205,4.93969,25.005909,,,,,,5.050024
6,France,1964,2367,3.229338,25.622961,,,,,,7.3469386
6,France,1965,2526,2.71474,25.749504,25.8,,,,,6.717364
6,France,1966,2728,2.570721,26.47594,,,,,,7.996833
6,France,1967,2915,2.818319,26.188457,,,,,,6.854839
6,France,1968,3163,4.552129,26.57132,,,,,,8.507719
6,France,1969,3531,6.039326,28.73958,,,,,,11.634524
6,France,1970,3857,5.845475,31.08583,26.0,,,,,9.232512
6,France,1971,4203,5.397514,31.760962,,,,,38.64927,8.970702
6,France,1972,4535,6.063004,32.39192,,,,,38.6979,7.89912
6,France,1973,5008,7.380597,34.27934,,,,,37.94067,10.429989
6,France,1974,5594,13.64932,42.390965,,,,,37.56777,11.701278
6,France,1975,6077,11.68593,36.927505,26.8,,,,37.66209,8.634251
6,France,1976,6673,9.625493,39.892372,,,,,37.49077,9.80747
6,France,1977,7292,9.494556,40.849865,,,,,36.88102,9.276188
6,France,1978,8031,9.250559,39.48853,,,,,36.23006,10.134394
6,France,1979,8948,10.64674,41.87905,,,,,35.84073,11.418254
6,France,1980,9891,13.53911,44.269318,34.5,0.27806,0.3287,27.236,36.0303,10.538668
6,France,1981,10929,13.33333,46.10194,,,,,35.17299,10.494389
6,France,1982,11869,11.97848,45.501305,,,,,34.09864,8.60097
6,France,1983,12518,9.459548,45.12784,,,,,33.51458,5.468026
6,France,1984,13145,7.673803,47.646427,,,,,33.12116,5.008787
6,France,1985,13746,5.831099,47.159176,36.3,,,,32.78713,4.5720806
6,France,1986,14308,2.538527,41.344673,,,,,31.80395,4.088462
6,France,1987,14940,3.288898,41.14437,,,,,30.94018,4.4171095
6,France,1988,16040,2.700817,42.526455,,,,,30.74395,7.3627844
6,France,1989,17193,3.498302,45.686443,,,,,30.22196,7.188279
6,France,1990,18244,3.380057,45.13057,36.9,,,,29.69998,6.1129527
6,France,1991,19021,3.216935,45.04747,,,,,29.52016,4.2589345
6,France,1992,19746,2.365765,44.02612,,,,,29.15713,3.8115766
6,France,1993,19920,2.10601,41.84121,,,,,27.45125,0.88119113
6,France,1994,20695,1.660873,43.40138,,,,,27.18095,3.8905623
6,France,1995,21545,1.778116,44.69141,37.3,,,,27.2759,4.107272
6,France,1996,22288,2.008362,45.60446,,,,,26.60661,3.448596
6,France,1997,23370,1.200322,49.3604,,,,,26.04123,4.8546305
6,France,1998,24412,0.6725971,,,,,,25.94564,4.458708
6,France,1999,25111,0.5,,,,,,25.49264,2.8633459
6,France,2000,26690,1.691542,,37.3,,,,25.48119,6.2880807
6,France,2001,28043,1.663405,,,,,,25.5017,5.0693145
6,France,2002,28829,1.924928,,,,,,25.30812,2.8028386
6,France,2003,29210,2.101039,,,,,,24.47357,1.3215859
7,West Germany,1960,2284,,35.459682,61.0,,,,44.987244,
7,West Germany,1961,2388,2.5157232,33.836784,,,,,,4.5534153
7,West Germany,1962,2527,2.7607362,33.466377,,,,,,5.8207707
7,West Germany,1963,2610,2.9850745,34.16063,,,,,,3.284527
7,West Germany,1964,2806,2.3188405,34.56614,,,,,,7.5095787
7,West Germany,1965,3005,3.3994334,35.8168,58.9,,,,,7.0919456
7,West Germany,1966,3168,3.5616438,36.628227,,,,,,5.424293
7,West Germany,1967,3241,1.5873016,37.22666,,,,,,2.304293
7,West Germany,1968,3571,1.0416666,39.09016,,,,,,10.182042
7,West Germany,1969,3998,2.0618556,40.571236,,,,,,11.957435
7,West Germany,1970,4367,3.2828283,40.31838,57.0,,,,38.217014,9.229615
7,West Germany,1971,4686,5.1344743,39.739914,,,,,48.00126,7.3047857
7,West Germany,1972,5055,5.3488374,39.230003,,,,,46.94689,7.87452
7,West Germany,1973,5553,6.843267,40.75988,,,,,46.53436,9.851632
7,West Germany,1974,6074,6.818182,48.39369,,,,,45.70887,9.382316
7,West Germany,1975,6603,5.9961314,46.45783,46.8,,,,43.37009,8.709252
7,West Germany,1976,7367,4.379562,49.10308,,,,,43.61361,11.570498
7,West Germany,1977,8090,3.4965036,48.564785,,,,,43.16602,9.814035
7,West Germany,1978,8928,2.5337837,47.071793,,,,,42.96508,10.358467
7,West Germany,1979,10067,3.7891269,49.485752,,,,,43.08099,12.757616
7,West Germany,1980,11083,5.2380953,53.336185,52.5,0.33738,0.32564,27.017998,36.04203,10.0923815
7,West Germany,1981,12115,6.3348417,56.67342,,,,,35.42349,9.311558
7,West Germany,1982,12761,5.390071,57.34184,,,,,34.778473,5.332233
7,West Germany,1983,13519,3.230148,55.48264,,,,,35.085144,5.9399734
7,West Germany,1984,14481,2.3468058,58.791813,,,,,34.51585,7.115911
7,West Germany,1985,15291,2.0382166,61.519432,58.5,,,,34.851387,5.5935364
7,West Germany,1986,15998,-0.2496879,55.117413,,,,,34.366795,4.623635
7,West Germany,1987,16679,0.12515645,52.914875,,,,,34.090187,4.256782
7,West Germany,1988,17786,1.125,53.910343,,,,,33.772335,6.637089
7,West Germany,1989,18994,2.8430161,57.664852,,,,,33.96273,6.7918587
7,West Germany,1990,20465,2.7644231,58.3615,56.2,,,,,7.7445507
7,West Germany,1991,21602,3.74269,,,,,,,5.555827
7,West Germany,1992,22154,4.0586247,,,,,,,2.555319
7,West Germany,1993,21878,3.6836402,,,,,,,-1.2458247
7,West Germany,1994,22371,2.8213167,,,,,,,2.2534053
7,West Germany,1995,23035,1.6260163,,,,,,,2.9681284
7,West Germany,1996,23742,1.3,,,,,,,3.0692425
7,West Germany,1997,24156,1.7769003,,,,,,,1.7437452
7,West Germany,1998,24931,0.8729389,,,,,,,3.2083127
7,West Germany,1999,25755,0.6730769,,,,,,,3.3051221
7,West Germany,2000,26943,,,,,,,,4.6126966
7,West Germany,2001,27449,,,,,,,,1.8780388
7,West Germany,2002,28348,,,,,,,,3.2751648
7,West Germany,2003,28855,,,,,,,,1.788486
8,Italy,1960,1620,,26.57343,13.9,,,,,
8,Italy,1961,1763,2.702703,26.883282,,,,,,8.827161
8,Italy,1962,1900,3.947368,27.117237,,,,,,7.770845
8,Italy,1963,2021,7.594937,27.785471,,,,,,6.368421
8,Italy,1964,2093,5.882353,26.7552,,,,,,3.5625927
8,Italy,1965,2205,4.444445,27.677755,14.1,,,,,5.3511705
8,Italy,1966,2400,3.191489,29.030056,,,,,,8.843537
8,Italy,1967,2624,3.092783,29.300257,,,,,,9.333333
8,Italy,1968,2910,2.0,29.876673,,,,,,10.89939
8,Italy,1969,3227,1.960784,31.844769,,,,,,10.893471
8,Italy,1970,3602,4.807693,32.854187,17.5,,,,,11.6207
8,Italy,1971,3834,5.504587,33.22466,,,,,40.38538,6.440866
8,Italy,1972,4101,5.217391,34.73354,,,,,39.51487,6.9640064
8,Italy,1973,4594,10.7438,36.741856,,,,,40.68504,12.021459
8,Italy,1974,5240,19.40298,44.55848,,,,,42.32259,14.06182
8,Italy,1975,5601,16.875,41.32477,18.6,,,,41.31369,6.8893127
8,Italy,1976,6288,16.57754,45.4257,,,,,42.21162,12.265667
8,Italy,1977,6821,17.43119,45.851334,,,,,41.67762,8.476463
8,Italy,1978,7542,12.10938,45.114742,,,,,41.04507,10.570297
8,Italy,1979,8594,14.63415,47.706306,,,,,40.67571,13.948555
8,Italy,1980,9643,21.2766,46.654396,29.2,0.37278,0.32452,26.728,40.37956,12.20619
8,Italy,1981,10593,17.79449,48.836246,,,,,39.03865,9.851706
8,Italy,1982,11275,16.38298,47.112198,,,,,38.13298,6.438214
8,Italy,1983,11812,14.62523,43.484116,,,,,36.95853,4.7627497
8,Italy,1984,12543,10.84529,45.80589,,,,,36.52842,6.1886215
8,Italy,1985,13285,9.208633,46.108475,30.3,,,,36.09994,5.9156504
8,Italy,1986,13896,5.797101,38.94103,,,,,34.897,4.599172
8,Italy,1987,14688,4.732254,38.36825,,,,,34.5781,5.699482
8,Italy,1988,15784,5.112961,37.962685,,,,,34.44107,7.4618735
8,Italy,1989,16875,6.221719,40.16734,,,,,34.55434,6.9120626
8,Italy,1990,17946,6.496273,40.0452,31.5,,,,33.898,6.346667
8,Italy,1991,18845,6.3,37.988586,,,,,32.9108,5.009473
8,Italy,1992,19367,5.079962,39.345406,,,,,32.38869,2.7699654
8,Italy,1993,19778,4.476276,42.431316,,,,,31.35425,2.1221666
8,Italy,1994,20577,4.027421,45.074287,,,,,31.30136,4.039842
8,Italy,1995,21532,5.244371,51.2474,32.4,,,,31.50129,4.641104
8,Italy,1996,22235,3.974524,48.17212,,,,,30.50213,3.264908
8,Italy,1997,22810,2.043106,50.31563,,,,,30.06423,2.586013
8,Italy,1998,23840,1.96294,,,,,,29.91003,4.5155635
8,Italy,1999,24402,1.655629,,,,,,29.31141,2.3573825
8,Italy,2000,25759,2.537687,,32.0,,,,29.04274,5.5610194
8,Italy,2001,26586,2.785166,,,,,,28.74293,3.2105284
8,Italy,2002,27320,2.46532,,,,,,28.28014,2.7608516
8,Italy,2003,27537,2.672559,,,,,,27.80482,0.7942899
9,Netherlands,1960,2113,,90.88709,11.1,,,,,
9,Netherlands,1961,2111,1.732093,88.21291,,,,,,-0.09465215
9,Netherlands,1962,2275,2.286038,86.70377,,,,,,7.76883
9,Netherlands,1963,2360,3.343184,87.91217,,,,,,3.7362638
9,Netherlands,1964,2566,5.790884,86.53982,,,,,,8.728813
9,Netherlands,1965,2739,5.794898,83.92977,13.6,,,,,6.742011
9,Netherlands,1966,2874,5.79687,82.381424,,,,,,4.9288063
9,Netherlands,1967,3078,3.486793,79.59118,,,,,,7.098121
9,Netherlands,1968,3399,3.675613,79.654465,,,,,,10.42885
9,Netherlands,1969,3951,7.42825,82.78465,,,,,,16.24007
9,Netherlands,1970,4342,3.679937,88.73793,45.8,,,,,9.896229
9,Netherlands,1971,4705,7.47758,88.536026,,,,,37.20113,8.360203
9,Netherlands,1972,4984,7.79175,84.7172,,,,,36.9602,5.929862
9,Netherlands,1973,5475,8.013519,88.92212,,,,,36.77002,9.851525
9,Netherlands,1974,6165,9.609367,102.14023,,,,,36.93427,12.602739
9,Netherlands,1975,6699,10.21273,93.638176,44.3,,,,35.57053,8.6618
9,Netherlands,1976,7345,9.057487,95.766205,,,,,35.76351,9.64323
9,Netherlands,1977,7959,6.474103,91.19662,,,,,35.20782,8.359428
9,Netherlands,1978,8676,4.080017,87.71375,,,,,34.13189,9.00867
9,Netherlands,1979,9504,4.210454,96.286804,,,,,34.08447,9.543569
9,Netherlands,1980,10458,6.73332,102.657455,44.1,0.29368,0.30778,21.84,34.51798,10.037879
9,Netherlands,1981,11304,6.748466,109.611946,,,,,34.74647,8.0895
9,Netherlands,1982,11784,5.862069,107.3393,,,,,34.06893,4.2462845
9,Netherlands,1983,12419,2.823019,106.94978,,,,,33.90657,5.388663
9,Netherlands,1984,13234,3.273495,114.40473,,,,,34.55178,6.5625253
9,Netherlands,1985,13938,2.223926,116.79983,44.7,,,,34.86816,5.319631
9,Netherlands,1986,14613,0.100025,97.608826,,,,,32.41933,4.8428755
9,Netherlands,1987,15197,-0.7078025,96.81971,,,,,30.76184,3.9964416
9,Netherlands,1988,16082,0.7463938,101.08154,,,,,30.96866,5.823518
9,Netherlands,1989,17387,1.082161,106.491394,,,,,30.66598,8.114662
9,Netherlands,1990,18665,3.285469,103.68212,45.4,,,,30.71949,7.3503194
9,Netherlands,1991,19626,3.133333,103.30096,,,,,30.41988,5.148674
9,Netherlands,1992,20224,3.183581,99.63787,,,,,29.34567,3.0469785
9,Netherlands,1993,20679,2.584182,94.70643,,,,,28.65413,2.249802
9,Netherlands,1994,21588,2.801527,95.98548,,,,,28.54458,4.395764
9,Netherlands,1995,22585,2.095282,99.49503,46.3,,,,28.74623,4.6183066
9,Netherlands,1996,23531,2.016667,101.01143,,,,,28.43318,4.1886206
9,Netherlands,1997,24692,2.15651,104.89993,,,,,27.83015,4.933917
9,Netherlands,1998,25811,1.983048,,,,,,27.106,4.531832
9,Netherlands,1999,26654,2.211071,,,,,,26.31304,3.2660494
