abb,year,turnout,policy_edr,policy_mail_in,policy_motor
AZ,1976,48.543724060058594,0.0,0.0,0.0
AZ,1980,45.37616729736328,0.0,0.0,0.0
AZ,1984,46.01995849609375,0.0,0.0,1.0
AZ,1988,46.27360153198242,0.0,0.0,1.0
AZ,1992,51.27457046508789,0.0,1.0,1.0
AZ,1996,42.150848388671875,0.0,1.0,1.0
AZ,2000,40.7052116394043,0.0,1.0,1.0
AZ,2004,47.0,0.0,1.0,1.0
AZ,2008,49.099998474121094,0.0,1.0,1.0
AZ,2012,46.5,0.0,1.0,1.0
AR,1920,20.640451431274414,0.0,0.0,0.0
AR,1924,15.039693832397461,0.0,0.0,0.0
AR,1928,20.754653930664062,0.0,0.0,0.0
AR,1932,22.167997360229492,0.0,0.0,0.0
AR,1936,17.113845825195312,0.0,0.0,0.0
AR,1940,18.218557357788086,0.0,0.0,0.0
AR,1944,19.249820709228516,0.0,0.0,0.0
AR,1948,21.831424713134766,0.0,0.0,0.0
AR,1952,36.836917877197266,0.0,0.0,0.0
AR,1956,37.96371841430664,0.0,0.0,0.0
AR,1960,41.08427429199219,0.0,0.0,0.0
AR,1964,51.27410888671875,0.0,0.0,0.0
AR,1968,53.33245849609375,0.0,0.0,0.0
AR,1972,47.975257873535156,0.0,0.0,0.0
AR,1976,52.64300537109375,0.0,0.0,0.0
AR,1980,51.89479446411133,0.0,0.0,0.0
AR,1984,53.26984405517578,0.0,0.0,0.0
AR,1988,48.505714416503906,0.0,0.0,0.0
AR,1992,53.339107513427734,0.0,0.0,0.0
AR,1996,46.84444046020508,0.0,1.0,1.0
AR,2000,46.25020980834961,0.0,1.0,1.0
AR,2004,51.0,0.0,1.0,1.0
AR,2008,50.0,0.0,1.0,1.0
AR,2012,47.5,0.0,1.0,1.0
CA,1920,45.53032302856445,0.0,0.0,0.0
CA,1924,45.96003723144531,0.0,0.0,0.0
CA,1928,51.24677276611328,0.0,0.0,0.0
CA,1932,55.718467712402344,0.0,0.0,0.0
CA,1936,58.94203567504883,0.0,0.0,0.0
CA,1940,66.90745544433594,0.0,0.0,0.0
CA,1944,60.529930114746094,0.0,0.0,0.0
CA,1948,59.596351623535156,0.0,0.0,0.0
CA,1952,66.75253295898438,0.0,0.0,0.0
CA,1956,62.966094970703125,0.0,0.0,0.0
CA,1960,67.35588073730469,0.0,0.0,0.0
CA,1964,65.98094940185547,0.0,0.0,0.0
CA,1968,60.53779220581055,0.0,0.0,0.0
CA,1972,58.887821197509766,0.0,0.0,0.0
CA,1976,51.24955749511719,0.0,1.0,0.0
CA,1980,49.66690444946289,0.0,1.0,0.0
CA,1984,49.576900482177734,0.0,1.0,0.0
CA,1988,46.939022064208984,0.0,1.0,0.0
CA,1992,49.40448760986328,0.0,1.0,0.0
CA,1996,42.497135162353516,0.0,1.0,1.0
CA,2000,44.537010192871094,0.0,1.0,1.0
CA,2004,47.099998474121094,0.0,1.0,1.0
CA,2008,49.5,0.0,1.0,1.0
CA,2012,45.099998474121094,0.0,1.0,1.0
CO,1920,54.21430587768555,0.0,0.0,0.0
CO,1924,59.76985549926758,0.0,0.0,0.0
CO,1928,64.66679382324219,0.0,0.0,0.0
CO,1932,71.3353271484375,0.0,0.0,0.0
CO,1936,72.09843444824219,0.0,0.0,0.0
CO,1940,76.89476013183594,0.0,0.0,0.0
CO,1944,65.90644836425781,0.0,0.0,0.0
CO,1948,62.939273834228516,0.0,0.0,0.0
CO,1952,71.43766021728516,0.0,0.0,0.0
CO,1956,69.32178497314453,0.0,0.0,0.0
CO,1960,71.4108657836914,0.0,0.0,0.0
CO,1964,68.19255828857422,0.0,0.0,0.0
CO,1968,64.68087768554688,0.0,0.0,0.0
CO,1972,59.78589630126953,0.0,0.0,0.0
CO,1976,60.55095291137695,0.0,0.0,0.0
CO,1980,56.94470977783203,0.0,0.0,0.0
CO,1984,58.31758117675781,0.0,0.0,0.0
CO,1988,58.09069061279297,0.0,0.0,1.0
CO,1992,60.66584014892578,0.0,0.0,1.0
CO,1996,52.20964050292969,0.0,1.0,1.0
CO,2000,54.409828186035156,0.0,1.0,1.0
CO,2004,61.20000076293945,0.0,1.0,1.0
CO,2008,64.69999694824219,0.0,1.0,1.0
CO,2012,64.69999694824219,0.0,1.0,1.0
CT,1920,45.260921478271484,0.0,0.0,0.0
CT,1924,45.54704284667969,0.0,0.0,0.0
CT,1928,58.205116271972656,0.0,0.0,0.0
CT,1932,58.22443389892578,0.0,0.0,0.0
CT,1936,63.37031936645508,0.0,0.0,0.0
CT,1940,67.39404296875,0.0,0.0,0.0
CT,1944,66.62466430664062,0.0,0.0,0.0
CT,1948,66.03556823730469,0.0,0.0,0.0
CT,1952,77.01824188232422,0.0,0.0,0.0
CT,1956,74.09874725341797,0.0,0.0,0.0
CT,1960,76.8615951538086,0.0,0.0,0.0
CT,1964,71.60523986816406,0.0,0.0,0.0
CT,1968,69.30552673339844,0.0,0.0,0.0
CT,1972,66.17002868652344,0.0,0.0,0.0
CT,1976,62.58938980102539,0.0,0.0,0.0
CT,1980,61.5442008972168,0.0,0.0,0.0
CT,1984,61.479103088378906,0.0,0.0,0.0
CT,1988,58.036903381347656,0.0,1.0,0.0
CT,1992,63.558040618896484,0.0,1.0,1.0
CT,1996,54.540870666503906,0.0,1.0,1.0
CT,2000,56.926483154296875,0.0,1.0,1.0
CT,2004,59.70000076293945,0.0,1.0,1.0
CT,2008,60.400001525878906,0.0,1.0,1.0
CT,2012,55.70000076293945,1.0,1.0,1.0
DE,1920,75.79469299316406,0.0,0.0,0.0
DE,1924,67.51175689697266,0.0,0.0,0.0
DE,1928,73.50054168701172,0.0,0.0,0.0
DE,1932,73.04643249511719,0.0,0.0,0.0
DE,1936,76.82401275634766,0.0,0.0,0.0
DE,1940,76.77203369140625,0.0,0.0,0.0
DE,1944,65.65169525146484,0.0,0.0,0.0
DE,1948,68.08552551269531,0.0,0.0,0.0
DE,1952,78.34192657470703,0.0,0.0,0.0
DE,1956,72.77660369873047,0.0,0.0,0.0
DE,1960,73.39437866210938,0.0,0.0,0.0
DE,1964,69.56461334228516,0.0,0.0,0.0
DE,1968,68.7514419555664,0.0,0.0,0.0
DE,1972,62.720638275146484,0.0,0.0,0.0
DE,1976,58.471961975097656,0.0,0.0,0.0
DE,1980,55.062618255615234,0.0,0.0,0.0
DE,1984,55.59180450439453,0.0,1.0,0.0
DE,1988,51.22169876098633,0.0,1.0,0.0
DE,1992,55.68927764892578,0.0,1.0,0.0
DE,1996,48.8351936340332,0.0,1.0,1.0
DE,2000,55.60641098022461,0.0,1.0,1.0
DE,2004,59.400001525878906,0.0,1.0,1.0
DE,2008,60.599998474121094,0.0,1.0,1.0
DE,2012,58.0,0.0,1.0,1.0
FL,1920,44.793060302734375,0.0,0.0,0.0
FL,1924,18.03363800048828,0.0,0.0,0.0
FL,1928,32.55463790893555,0.0,0.0,0.0
FL,1932,29.49234962463379,0.0,0.0,0.0
FL,1936,30.376962661743164,0.0,0.0,0.0
FL,1940,39.83818435668945,0.0,0.0,0.0
FL,1944,33.045127868652344,0.0,0.0,0.0
FL,1948,33.9361686706543,0.0,0.0,0.0
FL,1952,47.65561294555664,0.0,0.0,0.0
FL,1956,43.540550231933594,0.0,0.0,0.0
FL,1960,50.005699157714844,0.0,0.0,0.0
FL,1964,51.5936164855957,0.0,0.0,0.0
FL,1968,53.35068893432617,0.0,0.0,0.0
FL,1972,49.139869689941406,0.0,0.0,0.0
FL,1976,51.38853454589844,0.0,0.0,0.0
FL,1980,49.95159149169922,0.0,0.0,0.0
FL,1984,49.42550277709961,0.0,0.0,0.0
FL,1988,45.12812423706055,0.0,0.0,0.0
FL,1992,50.49515151977539,0.0,0.0,0.0
FL,1996,46.39558792114258,0.0,1.0,1.0
FL,2000,48.33893966674805,0.0,1.0,1.0
FL,2004,56.099998474121094,0.0,1.0,1.0
FL,2008,57.599998474121094,0.0,1.0,1.0
FL,2012,55.20000076293945,0.0,1.0,1.0
GA,1920,11.04617977142334,0.0,0.0,0.0
GA,1924,11.858647346496582,0.0,0.0,0.0
GA,1928,15.618009567260742,0.0,0.0,0.0
GA,1932,16.453153610229492,0.0,0.0,0.0
GA,1936,17.62746810913086,0.0,0.0,0.0
GA,1940,17.62833023071289,0.0,0.0,0.0
GA,1944,17.174983978271484,0.0,0.0,0.0
GA,1948,20.0269775390625,0.0,0.0,0.0
GA,1952,29.447694778442383,0.0,0.0,0.0
GA,1956,28.851526260375977,0.0,0.0,0.0
GA,1960,30.429773330688477,0.0,0.0,0.0
GA,1964,43.413272857666016,0.0,0.0,0.0
GA,1968,43.57753372192383,0.0,0.0,0.0
GA,1972,37.85313415527344,0.0,0.0,0.0
GA,1976,43.50734329223633,0.0,0.0,0.0
GA,1980,41.82307434082031,0.0,0.0,0.0
GA,1984,42.3773078918457,0.0,0.0,0.0
GA,1988,39.648136138916016,0.0,0.0,0.0
GA,1992,46.38393783569336,0.0,0.0,0.0
GA,1996,41.7170295715332,0.0,1.0,1.0
GA,2000,42.93026351928711,0.0,1.0,1.0
GA,2004,50.0,0.0,1.0,1.0
GA,2008,55.599998474121094,0.0,1.0,1.0
GA,2012,52.20000076293945,0.0,1.0,1.0
ID,1920,62.530513763427734,0.0,0.0,0.0
ID,1924,64.81062316894531,0.0,0.0,0.0
ID,1928,64.05319213867188,0.0,0.0,0.0
ID,1932,71.73597717285156,0.0,0.0,0.0
ID,1936,69.67960357666016,0.0,0.0,0.0
ID,1940,75.14195251464844,0.0,0.0,0.0
ID,1944,63.630489349365234,0.0,0.0,0.0
ID,1948,62.845027923583984,0.0,0.0,0.0
ID,1952,78.11396789550781,0.0,0.0,0.0
ID,1956,75.24238586425781,0.0,0.0,0.0
ID,1960,80.76612854003906,0.0,0.0,0.0
ID,1964,75.53641510009766,0.0,0.0,0.0
ID,1968,72.36157989501953,0.0,0.0,0.0
ID,1972,62.82975769042969,0.0,0.0,0.0
ID,1976,61.6513557434082,0.0,0.0,0.0
ID,1980,68.67048645019531,0.0,0.0,0.0
ID,1984,62.14975357055664,0.0,0.0,0.0
ID,1988,59.60979080200195,0.0,0.0,0.0
ID,1992,64.82991027832031,0.0,0.0,0.0
ID,1996,58.93756103515625,1.0,1.0,1.0
ID,2000,54.23316192626953,1.0,1.0,1.0
ID,2004,58.70000076293945,1.0,1.0,1.0
ID,2008,58.599998474121094,1.0,1.0,1.0
ID,2012,55.5,1.0,1.0,1.0
IL,1920,68.2848129272461,0.0,0.0,0.0
IL,1924,65.392822265625,0.0,0.0,0.0
IL,1928,69.25635528564453,0.0,0.0,0.0
IL,1932,68.84972381591797,0.0,0.0,0.0
IL,1936,76.589599609375,0.0,0.0,0.0
IL,1940,78.37196350097656,0.0,0.0,0.0
IL,1944,71.90762329101562,0.0,0.0,0.0
IL,1948,68.17631530761719,0.0,0.0,0.0
IL,1952,74.39230346679688,0.0,0.0,0.0
IL,1956,71.6386489868164,0.0,0.0,0.0
IL,1960,75.74285888671875,0.0,0.0,0.0
IL,1964,72.67115020751953,0.0,0.0,0.0
IL,1968,69.34291076660156,0.0,0.0,0.0
IL,1972,62.63405227661133,0.0,0.0,0.0
IL,1976,60.630306243896484,0.0,0.0,0.0
IL,1980,58.07925033569336,0.0,0.0,0.0
IL,1984,58.05784225463867,0.0,0.0,0.0
IL,1988,54.127105712890625,0.0,0.0,0.0
IL,1992,58.57184982299805,0.0,0.0,0.0
IL,1996,48.453487396240234,0.0,1.0,1.0
IL,2000,51.69162368774414,0.0,1.0,1.0
IL,2004,55.70000076293945,0.0,1.0,1.0
IL,2008,57.400001525878906,0.0,1.0,1.0
IL,2012,53.29999923706055,0.0,1.0,1.0
IN,1920,72.9004898071289,0.0,0.0,0.0
IN,1924,69.12619018554688,0.0,0.0,0.0
IN,1928,72.92884826660156,0.0,0.0,0.0
IN,1932,76.94258880615234,0.0,0.0,0.0
IN,1936,77.05766296386719,0.0,0.0,0.0
IN,1940,79.75247955322266,0.0,0.0,0.0
IN,1944,70.7349624633789,0.0,0.0,0.0
IN,1948,66.4501953125,0.0,0.0,0.0
IN,1952,75.1775131225586,0.0,0.0,0.0
IN,1956,73.41987609863281,0.0,0.0,0.0
IN,1960,76.86681365966797,0.0,0.0,0.0
IN,1964,72.23394012451172,0.0,0.0,0.0
IN,1968,70.47527313232422,0.0,0.0,0.0
IN,1972,60.668731689453125,0.0,0.0,0.0
IN,1976,61.13331604003906,0.0,0.0,0.0
IN,1980,57.903743743896484,0.0,0.0,0.0
IN,1984,56.41231155395508,0.0,0.0,0.0
IN,1988,53.61296844482422,0.0,0.0,0.0
IN,1992,55.273155212402344,0.0,0.0,0.0
IN,1996,49.215599060058594,0.0,1.0,1.0
IN,2000,48.807334899902344,0.0,1.0,1.0
IN,2004,53.0,0.0,1.0,1.0
IN,2008,57.0,0.0,1.0,1.0
IN,2012,52.900001525878906,0.0,1.0,1.0
IA,1920,62.740482330322266,0.0,0.0,0.0
IA,1924,66.98705291748047,0.0,0.0,0.0
IA,1928,67.73197937011719,0.0,0.0,0.0
IA,1932,67.63546752929688,0.0,0.0,0.0
IA,1936,72.05075073242188,0.0,0.0,0.0
IA,1940,74.14476776123047,0.0,0.0,0.0
IA,1944,63.347694396972656,0.0,0.0,0.0
IA,1948,61.65546798706055,0.0,0.0,0.0
IA,1952,75.12315368652344,0.0,0.0,0.0
IA,1956,73.64103698730469,0.0,0.0,0.0
IA,1960,76.55107879638672,0.0,0.0,0.0
IA,1964,70.59231567382812,0.0,0.0,0.0
IA,1968,69.02665710449219,0.0,0.0,0.0
IA,1972,63.17670822143555,0.0,0.0,0.0
IA,1976,64.06139373779297,0.0,1.0,0.0
IA,1980,63.10636901855469,0.0,1.0,0.0
IA,1984,63.57595443725586,0.0,1.0,0.0
IA,1988,59.383399963378906,0.0,1.0,0.0
IA,1992,64.97423553466797,0.0,1.0,1.0
IA,1996,57.70044708251953,0.0,1.0,1.0
IA,2000,61.706146240234375,0.0,1.0,1.0
IA,2004,67.4000015258789,0.0,1.0,1.0
IA,2008,66.9000015258789,1.0,1.0,1.0
IA,2012,67.0999984741211,1.0,1.0,1.0
KS,1920,54.67991638183594,0.0,0.0,0.0
KS,1924,61.46243667602539,0.0,0.0,0.0
KS,1928,64.09322357177734,0.0,0.0,0.0
KS,1932,69.68246459960938,0.0,0.0,0.0
KS,1936,75.27020263671875,0.0,0.0,0.0
KS,1940,74.04429626464844,0.0,0.0,0.0
KS,1944,61.44763946533203,0.0,0.0,0.0
KS,1948,64.31836700439453,0.0,0.0,0.0
KS,1952,71.21159362792969,0.0,0.0,0.0
KS,1956,67.1387710571289,0.0,0.0,0.0
KS,1960,70.25907897949219,0.0,0.0,0.0
KS,1964,63.92704772949219,0.0,0.0,0.0
KS,1968,64.08098602294922,0.0,0.0,0.0
KS,1972,58.95077133178711,0.0,1.0,0.0
KS,1976,58.47649383544922,0.0,1.0,0.0
KS,1980,57.16423416137695,0.0,1.0,0.0
KS,1984,58.240272521972656,0.0,1.0,0.0
KS,1988,55.3052864074707,0.0,1.0,0.0
KS,1992,62.6259765625,0.0,1.0,0.0
KS,1996,56.19784927368164,0.0,1.0,1.0
KS,2000,54.27773666381836,0.0,1.0,1.0
KS,2004,58.29999923706055,0.0,1.0,1.0
KS,2008,58.79999923706055,0.0,1.0,1.0
KS,2012,53.400001525878906,0.0,1.0,1.0
KY,1920,71.65968322753906,0.0,0.0,0.0
KY,1924,60.92754364013672,0.0,1.0,0.0
KY,1928,67.45796203613281,0.0,1.0,0.0
KY,1932,67.09854125976562,0.0,1.0,0.0
KY,1936,59.738182067871094,0.0,1.0,0.0
KY,1940,59.30274200439453,0.0,1.0,0.0
KY,1944,51.70378875732422,0.0,1.0,0.0
KY,1948,47.78725051879883,0.0,1.0,0.0
KY,1952,56.844058990478516,0.0,1.0,0.0
KY,1956,58.53709030151367,0.0,1.0,0.0
KY,1960,59.24497985839844,0.0,1.0,0.0
KY,1964,52.81245422363281,0.0,1.0,0.0
KY,1968,51.16758728027344,0.0,1.0,0.0
KY,1972,48.237640380859375,0.0,1.0,0.0
KY,1976,49.455169677734375,0.0,1.0,0.0
KY,1980,50.237571716308594,0.0,1.0,0.0
KY,1984,51.8714714050293,0.0,1.0,0.0
KY,1988,48.968299865722656,0.0,1.0,0.0
KY,1992,53.425628662109375,0.0,1.0,0.0
KY,1996,47.54788589477539,0.0,1.0,1.0
KY,2000,50.677085876464844,0.0,1.0,1.0
KY,2004,56.900001525878906,0.0,1.0,1.0
KY,2008,55.70000076293945,0.0,1.0,1.0
KY,2012,53.20000076293945,0.0,1.0,1.0
LA,1920,13.783108711242676,0.0,0.0,0.0
LA,1924,12.162426948547363,0.0,0.0,0.0
LA,1928,19.786727905273438,0.0,0.0,0.0
LA,1932,22.72471046447754,0.0,0.0,0.0
LA,1936,25.785884857177734,0.0,0.0,0.0
LA,1940,27.077770233154297,0.0,0.0,0.0
LA,1944,23.9314022064209,0.0,0.0,0.0
LA,1948,26.947996139526367,0.0,0.0,0.0
LA,1952,39.979042053222656,0.0,0.0,0.0
LA,1956,35.958763122558594,0.0,0.0,0.0
LA,1960,44.7833137512207,0.0,0.0,0.0
LA,1964,47.203128814697266,0.0,0.0,0.0
LA,1968,55.04865646362305,0.0,0.0,0.0
LA,1972,44.30128479003906,0.0,0.0,0.0
LA,1976,50.46949768066406,0.0,0.0,0.0
LA,1980,53.88277816772461,0.0,0.0,0.0
LA,1984,58.42316436767578,0.0,0.0,0.0
LA,1988,54.84075927734375,0.0,0.0,0.0
LA,1992,58.80479049682617,0.0,0.0,1.0
LA,1996,56.69503402709961,0.0,1.0,1.0
LA,2000,54.341636657714844,0.0,1.0,1.0
LA,2004,58.5,0.0,1.0,1.0
LA,2008,58.70000076293945,0.0,1.0,1.0
LA,2012,57.099998474121094,0.0,1.0,1.0
ME,1920,43.119964599609375,0.0,0.0,0.0
ME,1924,40.87992858886719,0.0,0.0,0.0
ME,1928,54.45303726196289,0.0,0.0,0.0
ME,1932,60.12821578979492,0.0,0.0,0.0
ME,1936,59.10005569458008,0.0,0.0,0.0
ME,1940,60.169158935546875,0.0,0.0,0.0
ME,1944,53.825260162353516,0.0,0.0,0.0
ME,1948,46.608272552490234,0.0,0.0,0.0
ME,1952,60.89786148071289,0.0,0.0,0.0
ME,1956,60.70880126953125,0.0,0.0,0.0
ME,1960,72.5932846069336,0.0,0.0,0.0
ME,1964,64.90033721923828,0.0,0.0,0.0
ME,1968,66.26239776611328,0.0,0.0,0.0
ME,1972,60.79329299926758,0.0,0.0,0.0
ME,1976,65.35426330566406,1.0,0.0,0.0
ME,1980,65.13212585449219,1.0,0.0,0.0
ME,1984,65.1240005493164,1.0,1.0,0.0
ME,1988,61.96379470825195,1.0,1.0,0.0
ME,1992,73.07401275634766,1.0,1.0,0.0
ME,1996,63.65925979614258,1.0,1.0,1.0
ME,2000,66.94331359863281,1.0,1.0,1.0
ME,2004,72.5999984741211,1.0,1.0,1.0
ME,2008,69.5999984741211,1.0,1.0,1.0
ME,2012,66.9000015258789,1.0,1.0,1.0
MD,1920,55.15071487426758,0.0,0.0,0.0
MD,1924,41.46561813354492,0.0,0.0,0.0
MD,1928,55.44552230834961,0.0,0.0,0.0
MD,1932,49.39279556274414,0.0,0.0,0.0
MD,1936,56.288639068603516,0.0,0.0,0.0
MD,1940,55.674251556396484,0.0,0.0,0.0
MD,1944,46.01247787475586,0.0,0.0,0.0
MD,1948,40.899837493896484,0.0,0.0,0.0
MD,1952,56.702659606933594,0.0,0.0,0.0
MD,1956,54.27137756347656,0.0,0.0,0.0
MD,1960,57.20032501220703,0.0,0.0,0.0
MD,1964,54.61339569091797,0.0,0.0,0.0
MD,1968,55.05210876464844,0.0,0.0,0.0
MD,1972,50.15047073364258,0.0,0.0,0.0
MD,1976,49.662723541259766,0.0,1.0,0.0
MD,1980,50.52463150024414,0.0,1.0,0.0
MD,1984,51.13904571533203,0.0,1.0,0.0
MD,1988,48.90924835205078,0.0,1.0,1.0
MD,1992,53.87837600708008,0.0,1.0,1.0
MD,1996,46.71895217895508,0.0,1.0,1.0
MD,2000,51.39722442626953,0.0,1.0,1.0
MD,2004,57.20000076293945,0.0,1.0,1.0
MD,2008,60.599998474121094,0.0,1.0,1.0
MD,2012,59.599998474121094,0.0,1.0,1.0
MA,1920,41.061134338378906,0.0,0.0,0.0
MA,1924,44.71957778930664,0.0,0.0,0.0
MA,1928,59.92030334472656,0.0,0.0,0.0
MA,1932,57.82815933227539,0.0,0.0,0.0
MA,1936,65.1611557006836,0.0,0.0,0.0
MA,1940,69.50797271728516,0.0,0.0,0.0
MA,1944,64.6557388305664,0.0,0.0,0.0
MA,1948,66.9203872680664,0.0,0.0,0.0
MA,1952,74.14532470703125,0.0,0.0,0.0
MA,1956,72.71484375,0.0,0.0,0.0
MA,1960,76.10108184814453,0.0,0.0,0.0
MA,1964,69.98979187011719,0.0,0.0,0.0
MA,1968,67.48139190673828,0.0,0.0,0.0
MA,1972,61.91000747680664,0.0,0.0,0.0
MA,1976,61.60962677001953,0.0,0.0,0.0
MA,1980,59.43230438232422,0.0,0.0,0.0
MA,1984,57.98934555053711,0.0,0.0,0.0
MA,1988,57.483734130859375,0.0,0.0,0.0
MA,1992,59.008018493652344,0.0,0.0,0.0
MA,1996,53.54110336303711,0.0,1.0,1.0
MA,2000,56.38249969482422,0.0,1.0,1.0
MA,2004,58.70000076293945,0.0,1.0,1.0
MA,2008,60.900001525878906,0.0,1.0,1.0
MA,2012,60.400001525878906,0.0,1.0,1.0
MI,1920,47.22898864746094,0.0,0.0,0.0
MI,1924,46.283817291259766,0.0,0.0,0.0
MI,1928,49.086273193359375,0.0,0.0,0.0
MI,1932,55.003536224365234,0.0,0.0,0.0
MI,1936,56.40232849121094,0.0,0.0,0.0
MI,1940,61.81666946411133,0.0,0.0,0.0
MI,1944,60.128875732421875,0.0,0.0,0.0
MI,1948,53.26494598388672,0.0,0.0,0.0
MI,1952,66.60585021972656,0.0,0.0,0.0
MI,1956,70.15636444091797,0.0,0.0,0.0
MI,1960,72.4475326538086,0.0,0.0,0.0
MI,1964,66.63134765625,0.0,0.0,0.0
MI,1968,65.67259216308594,0.0,0.0,0.0
MI,1972,59.15794372558594,0.0,0.0,0.0
MI,1976,58.97270584106445,0.0,0.0,1.0
MI,1980,60.08490753173828,0.0,0.0,1.0
MI,1984,57.26412582397461,0.0,0.0,1.0
MI,1988,54.192378997802734,0.0,0.0,1.0
MI,1992,61.61458969116211,0.0,0.0,1.0
MI,1996,53.903724670410156,0.0,1.0,1.0
MI,2000,57.642478942871094,0.0,1.0,1.0
MI,2004,63.900001525878906,0.0,1.0,1.0
MI,2008,66.4000015258789,0.0,1.0,1.0
MI,2012,62.0,0.0,1.0,1.0
MN,1920,53.23649215698242,0.0,0.0,0.0
MN,1924,56.914947509765625,0.0,0.0,0.0
MN,1928,64.43842315673828,0.0,0.0,0.0
MN,1932,63.08149719238281,0.0,0.0,0.0
MN,1936,66.73182678222656,0.0,0.0,0.0
MN,1940,69.63202667236328,0.0,0.0,0.0
MN,1944,61.091453552246094,0.0,0.0,0.0
MN,1948,64.21104431152344,0.0,0.0,0.0
MN,1952,71.52374267578125,0.0,0.0,0.0
MN,1956,68.19873046875,0.0,0.0,0.0
MN,1960,77.05582427978516,0.0,0.0,0.0
MN,1964,74.426025390625,0.0,0.0,0.0
MN,1968,72.99466705322266,0.0,0.0,0.0
MN,1972,68.04776000976562,0.0,0.0,0.0
MN,1976,71.60965728759766,1.0,1.0,0.0
MN,1980,70.63394165039062,1.0,1.0,1.0
MN,1984,68.87720489501953,1.0,1.0,1.0
MN,1988,66.6144027709961,1.0,1.0,1.0
MN,1992,71.2975082397461,1.0,1.0,1.0
MN,1996,63.31416702270508,1.0,1.0,1.0
MN,2000,67.13359832763672,1.0,1.0,1.0
MN,2004,73.9000015258789,1.0,1.0,1.0
MN,2008,73.19999694824219,1.0,1.0,1.0
MN,2012,71.30000305175781,1.0,1.0,1.0
MS,1920,9.000825881958008,0.0,0.0,0.0
MS,1924,11.689687728881836,0.0,0.0,0.0
MS,1928,15.040806770324707,0.0,0.0,0.0
MS,1932,13.715190887451172,0.0,0.0,0.0
MS,1936,14.329170227050781,0.0,0.0,0.0
MS,1940,14.681154251098633,0.0,0.0,0.0
MS,1944,14.98442268371582,0.0,0.0,0.0
MS,1948,15.936868667602539,0.0,0.0,0.0
MS,1952,23.781997680664062,0.0,0.0,0.0
MS,1956,20.9265193939209,0.0,0.0,0.0
MS,1960,25.46293830871582,0.0,0.0,0.0
MS,1964,34.1011848449707,0.0,0.0,0.0
MS,1968,53.27275085449219,0.0,0.0,0.0
MS,1972,44.874122619628906,0.0,0.0,0.0
MS,1976,49.895259857177734,0.0,0.0,0.0
MS,1980,52.27139663696289,0.0,0.0,0.0
MS,1984,53.649166107177734,0.0,0.0,0.0
MS,1988,51.68362045288086,0.0,0.0,0.0
MS,1992,52.36066818237305,0.0,1.0,1.0
MS,1996,45.321353912353516,0.0,1.0,1.0
MS,2000,48.040489196777344,0.0,1.0,1.0
MS,2004,54.20000076293945,0.0,1.0,1.0
MS,2008,58.900001525878906,0.0,1.0,1.0
MS,2012,57.29999923706055,0.0,1.0,1.0
MO,1920,64.62023162841797,0.0,0.0,0.0
MO,1924,60.95708465576172,0.0,0.0,0.0
MO,1928,67.35042572021484,0.0,0.0,0.0
MO,1932,69.51123046875,0.0,0.0,0.0
MO,1936,75.91647338867188,0.0,0.0,0.0
MO,1940,73.30599975585938,0.0,0.0,0.0
MO,1944,61.43537902832031,0.0,0.0,0.0
MO,1948,60.366981506347656,0.0,0.0,0.0
MO,1952,71.29209899902344,0.0,0.0,0.0
